rover_name,rover_type,step,time_hours,time_seconds,time_minutes,from_mode,to_mode,x_m,y_m,charge_station_id
Explore-Mid,explore,1407,0.03908333333333334,140.70000000000002,2.345,WORK,WAIT_PV,9.6701,10.4177,-1
Explore-Outer,explore,10282,0.28561111111111115,1028.2,17.13666666666667,WORK,GO_STATION,11.27799714686511,0.6384997042587937,-1
Drone-3m,transport,9918,0.2755,991.8000000000001,16.53,WORK,DONE,8.3054,11.1673,-1
Drone-6m,transport,6288,0.17466666666666666,628.8,10.48,WORK,GO_STATION,10.1891,11.6671,-1
Drone-6m,transport,6358,0.1766111111111111,635.8,10.596666666666666,GO_STATION,CHARGE,9.241520060340811,12.015505004258626,0
Drone-9m,transport,2635,0.07319444444444445,263.5,4.3916666666666675,WORK,GO_STATION,5.8836,7.1117,-1
Drone-9m,transport,2671,0.07419444444444445,267.1,4.451666666666667,GO_STATION,CHARGE,5.429330014435718,6.41207613176022,1
