epoch,train_total,train_data,train_mae,train_mse,val_data,val_mae,val_mse
1,0.03307143507460112,0.03307143507460112,6259.9072265625,83255032.0,0.010201688696515752,3064.2158203125,25682040.0
2,0.015458373418688111,0.015458373418688111,4152.5751953125,38915376.0,0.009812071342770899,2959.0830078125,24701206.0
3,0.014242709183991936,0.014242709183991936,3852.350830078125,35855028.0,0.009696490984004281,2955.08251953125,24410242.0
4,0.013633191464101767,0.013633191464101767,3687.80322265625,34320608.0,0.010621939393380578,3150.148681640625,26739990.0
5,0.013296588301177368,0.013296588301177368,3598.93701171875,33473234.0,0.009360885760824746,2795.85400390625,23565378.0
6,0.012986032828667952,0.012986032828667952,3507.765380859375,32691430.0,0.009592060841380912,2699.0615234375,24147346.0
7,0.012788980493042234,0.012788980493042234,3462.71435546875,32195368.0,0.009934038724860372,2922.42529296875,25008248.0
8,0.012513222988216452,0.012513222988216452,3403.140625,31501166.0,0.009326852925432137,2768.564208984375,23479702.0
9,0.012511439305100474,0.012511439305100474,3388.3837890625,31496676.0,0.009476067484695911,2905.849609375,23855340.0
10,0.012434185853534716,0.012434185853534716,3363.774658203125,31302196.0,0.009097677362726804,2689.39892578125,22902768.0
11,0.012365431785019552,0.012365431785019552,3342.70068359375,31129112.0,0.009378471829064238,2842.211669921875,23609648.0
12,0.012204046250887134,0.012204046250887134,3310.66064453125,30722836.0,0.009284228200232886,2818.069580078125,23372396.0
13,0.012183188650873795,0.012183188650873795,3295.8828125,30670328.0,0.00929866587890476,2778.92333984375,23408742.0
14,0.012290710339271628,0.012290710339271628,3331.96484375,30941008.0,0.009122751288581508,2707.1767578125,22965890.0
15,0.012110430980487395,0.012110430980487395,3290.167236328125,30487166.0,0.00896785519844146,2604.98779296875,22575950.0
16,0.012020342191957903,0.012020342191957903,3267.9736328125,30260374.0,0.009202291532646359,2733.4443359375,23166128.0
17,0.012044510160102433,0.012044510160102433,3271.3671875,30321216.0,0.009490675802476015,2823.331298828125,23892114.0
18,0.012021334719593954,0.012021334719593954,3261.016845703125,30262874.0,0.009637707786971655,2891.17529296875,24262258.0
19,0.011804174305880958,0.011804174305880958,3235.648193359375,29716186.0,0.009376287295713983,2781.039306640625,23604148.0
20,0.011777882787571239,0.011777882787571239,3231.581298828125,29650000.0,0.009319247459836017,2736.468505859375,23460556.0
21,0.01173495077765517,0.01173495077765517,3218.10009765625,29541920.0,0.009353744352061816,2735.603759765625,23547400.0
22,0.011695517071379174,0.011695517071379174,3208.864501953125,29442648.0,0.009948137678916844,2711.876708984375,25043744.0
23,0.011602214474201459,0.011602214474201459,3151.10498046875,29207768.0,0.00916074028712048,2750.392333984375,23061524.0
24,0.011537481148319081,0.011537481148319081,3143.050537109375,29044806.0,0.009555867694102306,2770.708740234375,24056232.0
25,0.011557140363245112,0.011557140363245112,3159.4267578125,29094294.0,0.009422791783105244,2809.766357421875,23721222.0
26,0.01151605360534603,0.01151605360534603,3140.541259765625,28990860.0,0.009593180608546402,2783.226318359375,24150164.0
27,0.011313531359559967,0.011313531359559967,3094.161865234375,28481028.0,0.009212535285948448,2715.426025390625,23191914.0
28,0.011342839474518302,0.011342839474518302,3097.516845703125,28554806.0,0.00918649665092855,2699.596435546875,23126364.0
29,0.011306472726746819,0.011306472726746819,3077.321533203125,28463256.0,0.009268561995420746,2699.179931640625,23332960.0
30,0.011241201445609618,0.011241201445609618,3070.547607421875,28298940.0,0.00954915601325025,2708.577880859375,24039336.0
31,0.011173942206572205,0.011173942206572205,3064.8857421875,28129622.0,0.00961633822824329,2779.48779296875,24208462.0
32,0.011239974585140105,0.011239974585140105,3059.58642578125,28295852.0,0.009665814120623383,2760.673583984375,24333012.0
33,0.011256228087937324,0.011256228087937324,3061.158935546875,28336770.0,0.01009950235060343,2831.926513671875,25424790.0
34,0.011296867105677013,0.011296867105677013,3083.3271484375,28439074.0,0.010051062679489147,2837.92578125,25302850.0
35,0.01115205033485496,0.01115205033485496,3046.30712890625,28074508.0,0.009546026023659964,2740.127685546875,24031454.0
36,0.011082363408617771,0.011082363408617771,3039.051513671875,27899078.0,0.009482181020020231,2765.894775390625,23870730.0
37,0.011213321954555416,0.011213321954555416,3051.7109375,28228756.0,0.00921465157587034,2612.94970703125,23197242.0
38,0.011066005140751262,0.011066005140751262,3015.1240234375,27857894.0,0.0098686724727674,2766.922607421875,24843696.0
39,0.011065205771596571,0.011065205771596571,3013.066162109375,27855886.0,0.009411902989968846,2686.788818359375,23693810.0
40,0.011026336465140216,0.011026336465140216,3001.275390625,27758034.0,0.009359352629293095,2665.626220703125,23561520.0
41,0.011013644132321091,0.011013644132321091,3014.050048828125,27726082.0,0.009404538818701888,2714.5341796875,23675272.0
42,0.01102383826024304,0.01102383826024304,3010.69189453125,27751744.0,0.009098658111977085,2600.781494140625,22905238.0
43,0.011010797532444222,0.011010797532444222,2994.251220703125,27718916.0,0.009780072819681662,2779.31103515625,24620654.0
44,0.010999787501000636,0.010999787501000636,3002.27734375,27691198.0,0.009438937217733187,2740.311279296875,23761868.0
45,0.011028345266792885,0.011028345266792885,2998.77978515625,27763090.0,0.009566292463695118,2786.401123046875,24082474.0
