step,time_hours,time_seconds,time_minutes,S0_soc,S0_queue,S0_renewable_in_kW,S0_wireless_out_kW,S1_soc,S1_queue,S1_renewable_in_kW,S1_wireless_out_kW,S2_soc,S2_queue,S2_renewable_in_kW,S2_wireless_out_kW
0,0.0,0.0,0.0,0.6,0,0.11335939357796801,0.0,0.55,0,0.1462011116754735,0.0,0.65,0,0.09660244394859069,0.0
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.6000313539911973,0,0.11336377665215934,0.0,0.550040856803147,0,0.14620073261731717,0.0,0.6500265053367907,0,0.09660617706765624,0.0
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.6000627092506453,0,0.11336815972635066,0.0,0.5500817134966125,0,0.14620035355916083,0.0,0.6500530117537663,0,0.09660991018672177,0.0
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.6000940657783439,0,0.11337254280054199,0.0,0.550122570080397,0,0.14619997450100447,0.0,0.6500795192509269,0,0.09661364330578731,0.0
4,0.00011111111111111112,0.4,0.006666666666666667,0.6001254235742931,0,0.1133769258747333,0.0,0.5501634265545003,0,0.14619959544284813,0.0,0.6501060278282723,0,0.09661737642485284,0.0
5,0.0001388888888888889,0.5,0.008333333333333333,0.6001567826384929,0,0.11338130894892462,0.0,0.5502042829189224,0,0.1461992163846918,0.0,0.6501325374858026,0,0.09662110954391838,0.0
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.6001881429709435,0,0.11338569202311594,0.0,0.5502451391736634,0,0.1461988373265355,0.0,0.6501590482235179,0,0.0966248426629839,0.0
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.6002195045716445,0,0.11339007509730727,0.0,0.5502859953187231,0,0.14619845826837913,0.0,0.650185560041418,0,0.09662857578204945,0.0
8,0.00022222222222222223,0.8,0.013333333333333334,0.6002508674405963,0,0.11339445817149858,0.0,0.5503268513541018,0,0.1461980792102228,0.0,0.6502120729395031,0,0.09663230890111497,0.0
9,0.00025,0.9,0.015000000000000001,0.6002822315777987,0,0.11339884124568991,0.0,0.5503677072797991,0,0.14619770015206646,0.0,0.6502385869177731,0,0.09663604202018052,0.0
10,0.0002777777777777778,1.0,0.016666666666666666,0.6003135969832518,0,0.11340322431988123,0.0,0.5504085630958153,0,0.14619732109391012,0.0,0.6502651019762281,0,0.09663977513924604,0.0
11,0.00030555555555555555,1.1,0.018333333333333333,0.6003449636569554,0,0.11340760739407256,0.0,0.5504494188021504,0,0.14619694203575376,0.0,0.6502916181148679,0,0.09664350825831158,0.0
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,0.6003763315989098,0,0.11341199046826388,0.0,0.5504902743988042,0,0.14619656297759745,0.0,0.6503181353336926,0,0.09664724137737711,0.0
13,0.00036111111111111115,1.3,0.021666666666666667,0.6004077008091148,0,0.11341637354245519,0.0,0.5505311298857769,0,0.14619618391944111,0.0,0.6503446536327023,0,0.09665097449644265,0.0
14,0.0003888888888888889,1.4000000000000001,0.023333333333333334,0.6004390712875703,0,0.11342075661664651,0.0,0.5505719852630684,0,0.14619580486128478,0.0,0.6503711730118968,0,0.0966547076155082,0.0
15,0.0004166666666666667,1.5,0.025,0.6004704430342765,0,0.11342513969083784,0.0,0.5506128405306787,0,0.14619542580312841,0.0,0.6503976934712764,0,0.09665844073457373,0.0
16,0.00044444444444444447,1.6,0.02666666666666667,0.6005018160492334,0,0.11342952276502916,0.0,0.5506536956886078,0,0.14619504674497208,0.0,0.6504242150108408,0,0.09666217385363927,0.0
17,0.00047222222222222224,1.7,0.028333333333333332,0.6005331903324408,0,0.11343390583922049,0.0,0.5506945507368558,0,0.14619466768681574,0.0,0.6504507376305901,0,0.0966659069727048,0.0
18,0.0005,1.8,0.030000000000000002,0.6005645658838988,0,0.1134382889134118,0.0,0.5507354056754226,0,0.14619428862865944,0.0,0.6504772613305243,0,0.09666964009177034,0.0
19,0.0005277777777777778,1.9000000000000001,0.03166666666666667,0.6005959427036076,0,0.11344267198760313,0.0,0.5507762605043082,0,0.14619390957050307,0.0,0.6505037861106435,0,0.09667337321083587,0.0
20,0.0005555555555555556,2.0,0.03333333333333333,0.600627320791567,0,0.11344705506179445,0.0,0.5508171152235126,0,0.14619353051234674,0.0,0.6505303119709476,0,0.09667710632990141,0.0
21,0.0005833333333333334,2.1,0.035,0.6006587001477771,0,0.11345143813598577,0.0,0.5508579698330358,0,0.1461931514541904,0.0,0.6505568389114366,0,0.09668083944896694,0.0
22,0.0006111111111111111,2.2,0.03666666666666667,0.6006900807722377,0,0.11345582121017708,0.0,0.550898824332878,0,0.14619277239603407,0.0,0.6505833669321104,0,0.09668457256803248,0.0
23,0.0006388888888888889,2.3000000000000003,0.03833333333333334,0.600721462664949,0,0.11346020428436841,0.0,0.5509396787230388,0,0.1461923933378777,0.0,0.6506098960329693,0,0.096688305687098,0.0
24,0.0006666666666666668,2.4000000000000004,0.04000000000000001,0.6007528458259108,0,0.11346458735855973,0.0,0.5509805330035186,0,0.14619201427972137,0.0,0.650636426214013,0,0.09669203880616355,0.0
25,0.0006944444444444445,2.5,0.041666666666666664,0.6007842302551234,0,0.11346897043275106,0.0,0.5510213871743171,0,0.14619163522156506,0.0,0.6506629574752416,0,0.0966957719252291,0.0
26,0.0007222222222222223,2.6,0.043333333333333335,0.6008156159525866,0,0.11347335350694238,0.0,0.5510622412354345,0,0.14619125616340872,0.0,0.6506894898166551,0,0.09669950504429463,0.0
27,0.00075,2.7,0.045000000000000005,0.6008470029183004,0,0.1134777365811337,0.0,0.5511030951868706,0,0.14619087710525236,0.0,0.6507160232382536,0,0.09670323816336017,0.0
28,0.0007777777777777778,2.8000000000000003,0.04666666666666667,0.6008783911522648,0,0.11348211965532502,0.0,0.5511439490286256,0,0.14619049804709602,0.0,0.650742557740037,0,0.0967069712824257,0.0
29,0.0008055555555555556,2.9,0.04833333333333333,0.60090978065448,0,0.11348650272951634,0.0,0.5511848027606995,0,0.1461901189889397,0.0,0.6507690933220053,0,0.09671070440149124,0.0
30,0.0008333333333333334,3.0,0.05,0.6009411714249456,0,0.11349088580370766,0.0,0.5512256563830922,0,0.14618973993078335,0.0,0.6507956299841584,0,0.09671443752055676,0.0
31,0.0008611111111111111,3.1,0.051666666666666666,0.600972563463662,0,0.11349526887789899,0.0,0.5512665098958036,0,0.14618936087262702,0.0,0.6508221677264966,0,0.0967181706396223,0.0
32,0.0008888888888888889,3.2,0.05333333333333334,0.601003956770629,0,0.1134996519520903,0.0,0.5513073632988339,0,0.14618898181447068,0.0,0.6508487065490196,0,0.09672190375868783,0.0
33,0.0009166666666666668,3.3000000000000003,0.05500000000000001,0.6010353513458466,0,0.11350403502628163,0.0,0.5513482165921829,0,0.14618860275631435,0.0,0.6508752464517276,0,0.09672563687775337,0.0
34,0.0009444444444444445,3.4,0.056666666666666664,0.6010667471893149,0,0.11350841810047295,0.0,0.5513890697758509,0,0.146188223698158,0.0,0.6509017874346205,0,0.0967293699968189,0.0
35,0.0009722222222222223,3.5000000000000004,0.05833333333333334,0.6010981443010338,0,0.11351280117466428,0.0,0.5514299228498376,0,0.14618784464000165,0.0,0.6509283294976982,0,0.09673310311588444,0.0
36,0.001,3.6,0.060000000000000005,0.6011295426810033,0,0.1135171842488556,0.0,0.5514707758141432,0,0.1461874655818453,0.0,0.6509548726409609,0,0.09673683623494997,0.0
37,0.0010277777777777778,3.7,0.06166666666666667,0.6011609423292235,0,0.11352156732304691,0.0,0.5515116286687676,0,0.146187086523689,0.0,0.6509814168644085,0,0.09674056935401551,0.0
38,0.0010555555555555557,3.8000000000000003,0.06333333333333334,0.6011923432456941,0,0.11352595039723823,0.0,0.5515524814137107,0,0.14618670746553267,0.0,0.651007962168041,0,0.09674430247308106,0.0
39,0.0010833333333333333,3.9,0.065,0.6012237454304157,0,0.11353033347142956,0.0,0.5515933340489727,0,0.1461863284073763,0.0,0.6510345085518584,0,0.09674803559214659,0.0
40,0.0011111111111111111,4.0,0.06666666666666667,0.6012551488833877,0,0.11353471654562088,0.0,0.5516341865745537,0,0.14618594934921997,0.0,0.6510610560158608,0,0.09675176871121213,0.0
41,0.001138888888888889,4.1000000000000005,0.06833333333333334,0.6012865536046104,0,0.1135390996198122,0.0,0.5516750389904532,0,0.14618557029106363,0.0,0.6510876045600481,0,0.09675550183027766,0.0
42,0.0011666666666666668,4.2,0.07,0.6013179595940837,0,0.11354348269400352,0.0,0.5517158912966718,0,0.1461851912329073,0.0,0.6511141541844204,0,0.0967592349493432,0.0
43,0.0011944444444444446,4.300000000000001,0.07166666666666668,0.6013493668518077,0,0.11354786576819485,0.0,0.551756743493209,0,0.14618481217475093,0.0,0.6511407048889775,0,0.09676296806840873,0.0
44,0.0012222222222222222,4.4,0.07333333333333333,0.6013807753777822,0,0.11355224884238617,0.0,0.5517975955800651,0,0.14618443311659463,0.0,0.6511672566737196,0,0.09676670118747427,0.0
45,0.00125,4.5,0.075,0.6014121851720075,0,0.11355663191657749,0.0,0.5518384475572401,0,0.1461840540584383,0.0,0.6511938095386465,0,0.0967704343065398,0.0
46,0.0012777777777777779,4.6000000000000005,0.07666666666666667,0.6014435962344833,0,0.1135610149907688,0.0,0.5518792994247338,0,0.14618367500028195,0.0,0.6512203634837583,0,0.09677416742560534,0.0
47,0.0013055555555555557,4.7,0.07833333333333334,0.6014750085652099,0,0.11356539806496013,0.0,0.5519201511825463,0,0.1461832959421256,0.0,0.6512469185090551,0,0.09677790054467086,0.0
48,0.0013333333333333335,4.800000000000001,0.08000000000000002,0.6015064221641869,0,0.11356978113915145,0.0,0.5519610028306778,0,0.14618291688396925,0.0,0.6512734746145369,0,0.0967816336637364,0.0
