time(millisecond),datetime(utc),aligned_time_s,aligned_phase,ideal_flight_phase,original_time(millisecond),original_datetime(utc),original_height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),original_altitude_above_seaLevel(feet),original_height_sonar(feet),original_speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),xSpeed(mph),ySpeed(mph),original_zSpeed(mph),compass_heading(degrees),original_pitch(degrees),original_roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),original_altitude(feet),original_ascent(feet),flycStateRaw,flycState,height_above_takeoff(feet),height_above_takeoff(m),ascent(feet),altitude(feet),altitude_above_seaLevel(feet),height_sonar(feet),zSpeed(mph),speed(mph),pitch(degrees),roll(degrees),estimated_pack_voltage(V),estimated_power(W)
0,2026-05-09 10:19:28.000,0.0,0.0,ground,0,2026-05-09 10:19:28,0.0,Available with any HD 360 subscription,Available with any HD 360 subscription,-11.885298608676,0.0,0.0,0.0,0.0,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,6.7,-1.6,Available with Enterprise subscription,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,6,P-GPS,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
100,2026-05-09 10:19:28.100,0.1,0.001890359168241966,ground,100,2026-05-09 10:19:28,0.0,,,-11.885298608676,0.0,0.0,0.00587188339,0.00587188339,15,5,0.0,0.0,0.0,0.0,0.00587188339,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
200,2026-05-09 10:19:28.200,0.2,0.003780718336483932,ground,200,2026-05-09 10:19:28,0.0,,,-11.885298608676,0.0,0.0,0.111436355272,0.112156171568,15,5,0.0,0.0,0.0,0.0,0.111436355272,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
300,2026-05-09 10:19:28.300,0.3,0.005671077504725898,ground,300,2026-05-09 10:19:28,0.0,,,-11.885298608676,0.328084,0.0,0.124084321556,0.124934059116,15,5,0.0,0.0,0.0,0.0,0.124084321556,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
400,2026-05-09 10:19:28.400,0.4,0.007561436672967864,ground,400,2026-05-09 10:19:28,0.0,,,-11.885298608676,0.328084,0.0,0.146375332768,0.150954401156,15,5,0.0,0.0,0.0,0.0,0.146375332768,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
500,2026-05-09 10:19:28.500,0.5,0.00945179584120983,ground,500,2026-05-09 10:19:28,0.0,,,-11.885298608676,0.328084,0.0,0.154456697856,0.161332354244,15,5,0.0,0.0,0.0,0.0,0.154456697856,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
600,2026-05-09 10:19:28.600,0.6,0.011342155009451797,ground,600,2026-05-09 10:19:28,0.0,,,-11.885298608676,0.328084,0.0,0.2225803877,0.234678813284,15,5,0.0,0.0,0.0,0.0,0.2225803877,0.0,0.0,0.0,13.4,6.8,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.8,-1.6,15.059,0.0
700,2026-05-09 10:19:28.700,0.7,0.013232514177693762,ground,700,2026-05-09 10:19:28,0.0,,,-11.885298608676,0.328084,0.0,0.238342527312,0.251334325628,15,5,0.0,0.0,0.0,0.0,0.238342527312,0.0,0.0,0.0,13.5,6.7,-1.5,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.5,15.059,0.0
800,2026-05-09 10:19:28.800,0.8,0.015122873345935728,ground,800,2026-05-09 10:19:29,0.0,,,-11.885298608676,0.328084,0.0,0.295655849356,0.313746073032,15,5,0.0,0.0,0.0,0.0,0.295655849356,0.0,0.0,0.0,13.5,6.7,-1.5,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.5,15.059,0.0
900,2026-05-09 10:19:28.900,0.8999999999999999,0.017013232514177693,ground,900,2026-05-09 10:19:29,0.0,,,-11.885298608676,0.328084,0.0,0.303866807624,0.321992792456,15,5,0.0,0.0,0.0,0.0,0.303866807624,0.0,0.0,0.0,13.5,6.7,-1.5,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.5,15.059,0.0
1000,2026-05-09 10:19:29.000,1.0,0.01890359168241966,ground,1000,2026-05-09 10:19:29,0.0,,,-11.885298608676,0.328084,0.0,0.33404200544,0.35471785912,15,5,0.0,0.0,0.0,0.0,0.33404200544,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
1100,2026-05-09 10:19:29.100,1.1,0.020793950850661626,ground,1100,2026-05-09 10:19:29,0.0,,,-11.885298608676,0.328084,0.0,0.307868776256,0.3855151042,15,5,0.0,0.0,0.0,0.0,0.33404200544,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
1200,2026-05-09 10:19:29.200,1.2,0.022684310018903593,ground,1200,2026-05-09 10:19:29,0.0,,,-11.885298608676,0.328084,0.0,0.42164043344,0.49994096088,15,5,0.0,0.0,0.0,0.0,0.42164043344,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
1300,2026-05-09 10:19:29.300,1.3,0.02457466918714556,ground,1300,2026-05-09 10:19:29,0.0,,,-11.885298608676,0.328084,0.0,0.42615815012,0.50466208964,15,5,0.0,0.0,0.0,0.0,0.42615815012,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
1400,2026-05-09 10:19:29.400,1.4,0.026465028355387523,ground,1400,2026-05-09 10:19:29,0.0,,,-11.885298608676,0.328084,0.0,0.50927166984,0.58779857524,15,5,0.0,0.0,0.0,0.0,0.50927166984,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
1500,2026-05-09 10:19:29.500,1.5,0.02835538752362949,ground,1500,2026-05-09 10:19:29,0.0,,,-11.885298608676,0.328084,0.0,0.51606957032,0.59546589832,15,5,0.0,0.0,0.0,0.0,0.51606957032,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,41,Motors_Started,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
1600,2026-05-09 10:19:29.600,1.6,0.030245746691871456,ground,1600,2026-05-09 10:19:29,0.0,,,-11.885298608676,0.328084,0.0,0.57533794492,0.65829070348,15,5,0.0,0.0,0.0,0.0,0.57533794492,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,11,AutoTakeoff,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
1700,2026-05-09 10:19:29.700,1.7,0.03213610586011342,ground,1700,2026-05-09 10:19:29,0.0,,,-11.885298608676,0.328084,0.0,0.58640421824,0.66983597944,15,5,0.0,0.0,0.0,0.0,0.58640421824,0.0,0.0,0.0,13.5,6.7,-1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0.0,0,58,3.767,3.764,3.764,3.764,0,0,0.0,74.66,-11.885298608676,0.0,11,AutoTakeoff,0.0,0.0,0.0,-11.885298608676,-11.885298608676,0.0,0.0,0.0,6.7,-1.6,15.059,0.0
