time(millisecond),datetime(utc),aligned_time_s,aligned_phase,ideal_flight_phase,original_time(millisecond),original_datetime(utc),original_height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),original_altitude_above_seaLevel(feet),original_height_sonar(feet),original_speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),xSpeed(mph),ySpeed(mph),original_zSpeed(mph),compass_heading(degrees),original_pitch(degrees),original_roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),original_altitude(feet),original_ascent(feet),flycStateRaw,flycState,height_above_takeoff(feet),height_above_takeoff(m),ascent(feet),altitude(feet),altitude_above_seaLevel(feet),height_sonar(feet),zSpeed(mph),speed(mph),pitch(degrees),roll(degrees),estimated_pack_voltage(V),estimated_power(W)
0,2026-05-09 10:19:28.000,0.0,0.0,ground,100900,2026-05-09 10:21:18,0.0,Available with any HD 360 subscription,Available with any HD 360 subscription,-9.863457664712,0.328084,0.0,0.0,0.0,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,5.2,-0.3,Available with Enterprise subscription,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0.0,0,54,3.72,3.717,3.717,3.719,0,0,0.0,81.86,-9.863457664712,0.0,6,P-GPS,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,5.2,-0.3,14.873,0.0
106,2026-05-09 10:19:28.106,0.1060120240480962,0.0020040080160320644,ground,101000,2026-05-09 10:21:19,0.0,,,-9.863457664712,0.328084,0.0,0.0036473754448,0.0036473754448,15,5,0.0,0.0,0.0,0.0,0.0036473754448,0.0,0.0,0.0,30.3,5.3,-0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0.0,0,54,3.72,3.717,3.717,3.719,0,0,0.0,81.86,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,5.3,-0.3,14.873,0.0
212,2026-05-09 10:19:28.212,0.2120240480961924,0.004008016032064129,ground,101100,2026-05-09 10:21:19,0.0,,,-9.863457664712,0.328084,0.0,0.00246346464576,0.0091017719448,15,5,0.0,0.0,0.0,0.0,0.0036473754448,0.0,0.0,0.0,30.3,5.3,-0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0.0,0,54,3.72,3.717,3.717,3.719,0,0,0.0,81.86,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,5.3,-0.3,14.873,0.0
318,2026-05-09 10:19:28.318,0.3180360721442886,0.006012024048096192,ground,101200,2026-05-09 10:21:19,0.0,,,-9.863457664712,0.328084,0.0,0.004866469972,0.0157313653328,15,5,0.0,0.0,0.0,0.0,0.004866469972,0.0,0.0,0.0,30.3,5.3,-0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0.0,0,54,3.72,3.717,3.717,3.719,0,0,0.0,81.86,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,5.3,-0.3,14.873,0.0
424,2026-05-09 10:19:28.424,0.4240480961923848,0.008016032064128258,ground,101300,2026-05-09 10:21:19,0.0,,,-9.863457664712,0.328084,0.0,0.007631069798,0.0189491147796,15,5,0.0,0.0,0.0,0.0,0.007631069798,0.0,0.0,0.0,30.3,5.3,-0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0.0,0,54,3.72,3.717,3.717,3.719,0,0,0.0,81.86,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,5.3,-0.3,14.873,0.0
530,2026-05-09 10:19:28.530,0.5300601202404809,0.01002004008016032,ground,101400,2026-05-09 10:21:19,0.0,,,-9.863457664712,0.328084,0.0,53.347442652,0.0205929140448,15,5,0.0,0.0,0.0,0.0,53.347442652,0.0,0.0,0.0,30.3,5.3,-0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0.0,0,54,3.72,3.717,3.717,3.719,0,0,0.0,81.86,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,5.3,-0.3,14.873,0.0
636,2026-05-09 10:19:28.636,0.6360721442885772,0.012024048096192385,ground,101500,2026-05-09 10:21:19,0.0,,,-9.863457664712,0.328084,0.0,53.34317756,0.0258321202492,15,5,0.0,0.0,0.0,0.0,53.347442652,0.0,0.0,0.0,30.3,5.3,-0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0.0,0,54,3.72,3.717,3.717,3.719,0,0,0.0,81.86,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,5.3,-0.3,14.873,0.0
742,2026-05-09 10:19:28.742,0.7420841683366733,0.014028056112224449,ground,101600,2026-05-09 10:21:19,0.0,,,-9.863457664712,0.328084,0.0,53.343833728,0.0266366806424,15,5,0.0,0.0,0.0,0.0,53.347442652,0.0,0.0,0.0,30.3,5.2,-0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0.0,0,54,3.72,3.717,3.717,3.719,0,0,0.0,81.86,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,5.2,-0.3,14.873,0.0
848,2026-05-09 10:19:28.848,0.8480961923847696,0.016032064128256515,ground,101700,2026-05-09 10:21:19,0.0,,,-9.863457664712,0.328084,0.0,53.339240552,0.0326082031432,15,5,0.0,0.0,0.0,0.0,53.347442652,0.0,0.0,0.0,30.3,5.2,-0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0.0,0,54,3.72,3.717,3.717,3.719,0,0,0.0,81.86,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,5.2,-0.3,14.873,0.0
954,2026-05-09 10:19:28.954,0.9541082164328657,0.018036072144288578,ground,101800,2026-05-09 10:21:19,0.0,,,-9.863457664712,0.328084,0.0,53.351051576,0.044661090668,15,5,0.0,0.0,0.0,0.0,53.351051576,0.0,0.0,0.0,30.3,5.3,-0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0.0,0,54,3.72,3.717,3.717,3.719,0,0,0.0,81.86,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,5.3,-0.3,14.873,0.0
