time(millisecond),datetime(utc),aligned_time_s,aligned_phase,ideal_flight_phase,original_time(millisecond),original_datetime(utc),original_height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),original_altitude_above_seaLevel(feet),original_height_sonar(feet),original_speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),xSpeed(mph),ySpeed(mph),original_zSpeed(mph),compass_heading(degrees),original_pitch(degrees),original_roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),original_altitude(feet),original_ascent(feet),flycStateRaw,flycState,height_above_takeoff(feet),height_above_takeoff(m),ascent(feet),altitude(feet),altitude_above_seaLevel(feet),height_sonar(feet),zSpeed(mph),speed(mph),pitch(degrees),roll(degrees),estimated_pack_voltage(V),estimated_power(W)
1104,2026-05-09 10:19:29.104,1.104384133611691,0.020876826722338204,ground,53900,2026-05-09 10:20:26,0.0,,,-9.863457664712,0.328084,0.0,0.0157835306888,0.081456367436,15,5,0.0,0.0,0.0,0.0,0.0201862211184,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0.0,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.950999999999999,0.0
1215,2026-05-09 10:19:29.214,1.2148225469728602,0.02296450939457203,ground,54000,2026-05-09 10:20:26,0.0,,,-9.863457664712,0.328084,0.0,0.0257166346812,0.091467850696,15,5,14.952,0.0,0.0,0.0,0.0257166346812,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.702,3.7,3.7,3.7,0,0,0.893,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.952,13.352136
1325,2026-05-09 10:19:29.325,1.3252609603340293,0.025052192066805846,ground,54100,2026-05-09 10:20:26,0.0,,,-9.863457664712,0.328084,0.0,0.0047054791532,0.112577759508,15,5,14.952,0.0,0.0,0.0,0.0257166346812,0.0,0.0,0.0,210.2,6.7,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.702,3.7,3.7,3.7,0,0,0.893,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.7,-1.4,14.952,13.352136
1436,2026-05-09 10:19:29.435,1.4356993736951984,0.027139874739039668,ground,54200,2026-05-09 10:20:26,0.0,,,-9.863457664712,0.328084,0.0,0.0122595476364,0.120913389696,15,5,14.952,0.0,0.0,0.0,0.0257166346812,0.0,0.0,0.0,210.2,6.7,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.702,3.7,3.7,3.7,0,0,0.893,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.7,-1.4,14.952,13.352136
1546,2026-05-09 10:19:29.546,1.5461377870563673,0.029227557411273485,ground,54300,2026-05-09 10:20:26,0.0,,,-9.863457664712,0.328084,0.0,0.0178874349556,0.127020017188,15,5,14.952,0.0,0.0,0.0,0.0257166346812,0.0,0.0,0.0,210.2,6.7,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.702,3.7,3.7,3.7,0,0,0.893,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.7,-1.4,14.952,13.352136
1657,2026-05-09 10:19:29.656,1.6565762004175364,0.031315240083507306,ground,54400,2026-05-09 10:20:26,0.0,,,-9.863457664712,0.328084,0.0,0.0057682744628,0.142757222416,15,5,14.952,0.0,0.0,0.0,0.0257166346812,0.0,0.0,0.0,210.2,6.7,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.702,3.7,3.7,3.7,0,0,0.893,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.7,-1.4,14.952,13.352136
1767,2026-05-09 10:19:29.767,1.7670146137787057,0.03340292275574113,ground,54500,2026-05-09 10:20:26,0.0,,,-9.863457664712,0.328084,0.0,0.00264427829984,0.14635991282,15,5,14.952,0.0,0.0,0.0,0.0257166346812,0.0,0.0,0.0,210.2,6.7,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.702,3.7,3.7,3.7,0,0,0.893,77.72,-9.863457664712,0.0,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.7,-1.4,14.952,13.352136
1877,2026-05-09 10:19:29.877,1.8774530271398748,0.03549060542797495,ground,54600,2026-05-09 10:20:26,0.0,,,-9.863457664712,0.328084,0.0,0.00263072186896,0.151270674132,15,5,14.952,0.0,0.0,0.0,0.0257166346812,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.702,3.7,3.7,3.7,0,0,0.893,77.72,-9.863457664712,0.0,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.952,13.352136
1988,2026-05-09 10:19:29.987,1.987891440501044,0.03757828810020877,ground,54700,2026-05-09 10:20:26,0.0,,,-9.863457664712,0.328084,0.0,0.0056262797076,0.159508207204,15,5,14.952,0.0,0.0,0.0,0.0257166346812,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.702,3.7,3.7,3.7,0,0,0.893,77.72,-9.863457664712,0.0,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.952,13.352136
2098,2026-05-09 10:19:30.098,2.098329853862213,0.03966597077244259,ground,54800,2026-05-09 10:20:26,0.0,,,-9.863457664712,0.328084,0.0,0.0110440948416,0.166191278284,15,5,14.952,0.0,0.0,0.0,0.0257166346812,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.702,3.7,3.7,3.7,0,0,0.893,77.72,-9.863457664712,0.0,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.952,13.352136
