epoch,train_total,train_data,train_mae,train_mse,val_data,val_mae,val_mse
1,0.0617261203207357,0.0617261203207357,8384.107421875,154865152.0,0.011739721035758485,3865.60791015625,29453880.0
2,0.01934493138357773,0.01934493138357773,4921.796875,48534652.0,0.008908916981787229,3135.8427734375,22351654.0
3,0.01538248183725844,0.01538248183725844,4262.55029296875,38593232.0,0.00777527073540042,2716.03515625,19507438.0
4,0.013825404808516135,0.013825404808516135,3906.239990234375,34686668.0,0.007549799227460875,2665.18408203125,18941752.0
5,0.012533390137569421,0.012533390137569421,3642.2529296875,31445122.0,0.007367548318476224,2596.415283203125,18484500.0
6,0.011950157940242958,0.011950157940242958,3487.1591796875,29981846.0,0.006979654284976455,2478.33837890625,17511310.0
7,0.011481530717288961,0.011481530717288961,3394.2021484375,28806104.0,0.006946885408071463,2455.554931640625,17429096.0
8,0.010988577692739308,0.010988577692739308,3275.9501953125,27569328.0,0.006898262803045762,2416.17041015625,17307106.0
9,0.010797496681907067,0.010797496681907067,3212.22265625,27089926.0,0.00665037389387891,2417.56884765625,16685176.0
10,0.0104984628852877,0.0104984628852877,3135.366943359375,26339678.0,0.006614815072499859,2333.221435546875,16595962.0
11,0.01037373666012038,0.01037373666012038,3090.2763671875,26026750.0,0.006878255639147701,2381.06591796875,17256910.0
12,0.010278939202334083,0.010278939202334083,3058.774169921875,25788912.0,0.006972000153168572,2440.599609375,17492106.0
13,0.010149229792499038,0.010149229792499038,3016.46728515625,25463484.0,0.006728518327487256,2408.590576171875,16881234.0
14,0.009913272269436167,0.009913272269436167,2969.34814453125,24871488.0,0.0069332250192366265,2361.80078125,17394824.0
15,0.009907521743254084,0.009907521743254084,2942.130126953125,24857060.0,0.00671541207399095,2315.31640625,16848350.0
16,0.009769510984927012,0.009769510984927012,2900.664306640625,24510804.0,0.006916374836508997,2341.997802734375,17352548.0
17,0.009714907000974216,0.009714907000974216,2888.54296875,24373806.0,0.006674376262459689,2217.787353515625,16745395.0
18,0.009715986530624623,0.009715986530624623,2867.32568359375,24376514.0,0.006855257786279276,2325.60302734375,17199210.0
19,0.009638929830416336,0.009638929830416336,2851.02734375,24183186.0,0.006646507077603164,2256.927001953125,16675474.0
20,0.009513017604134127,0.009513017604134127,2831.210205078125,23867286.0,0.007049651923508413,2255.668212890625,17686928.0
21,0.009505889728801016,0.009505889728801016,2804.4716796875,23849404.0,0.006425398525933034,2244.263427734375,16120732.0
22,0.009409060879672734,0.009409060879672734,2783.759033203125,23606468.0,0.007007339912447319,2329.4599609375,17580770.0
23,0.009398515578179542,0.009398515578179542,2765.516357421875,23580010.0,0.006501928339907509,2242.751220703125,16312739.0
24,0.009341862918047655,0.009341862918047655,2751.63232421875,23437874.0,0.006594718872357849,2222.7880859375,16545543.0
25,0.009326876806816582,0.009326876806816582,2747.875,23400276.0,0.0065012048767406376,2236.113037109375,16310924.0
26,0.00913965221315524,0.00913965221315524,2704.935546875,22930548.0,0.0069133066053077095,2320.2919921875,17344850.0
27,0.009229853407953395,0.009229853407953395,2715.938720703125,23156852.0,0.0066456087010625525,2244.400146484375,16673221.0
28,0.0092241281480076,0.0092241281480076,2698.7763671875,23142490.0,0.006486576681227418,2208.702880859375,16274224.0
29,0.00916367386013987,0.00916367386013987,2682.17236328125,22990814.0,0.006492052976406382,2229.540283203125,16287963.0
30,0.009137271425103946,0.009137271425103946,2670.6865234375,22924574.0,0.006672992986327636,2313.771484375,16741925.0
31,0.009015292960209866,0.009015292960209866,2644.775634765625,22618542.0,0.006972611683684008,2241.61083984375,17493642.0
32,0.009005679474438146,0.009005679474438146,2635.38427734375,22594420.0,0.00653603998877773,2268.248046875,16398321.0
33,0.00897523986985314,0.00897523986985314,2614.980712890625,22518052.0,0.006586278478304545,2218.483154296875,16524367.0
34,0.008993206506786902,0.008993206506786902,2619.01953125,22563126.0,0.006684105547470587,2227.454833984375,16769807.0
35,0.008946190998240436,0.008946190998240436,2607.03271484375,22445168.0,0.006615210412692099,2280.949462890625,16596955.0
36,0.008870965277872407,0.008870965277872407,2598.251953125,22256436.0,0.006381806160374044,2188.201416015625,16011364.0
37,0.008918296881033726,0.008918296881033726,2590.694091796875,22375184.0,0.006593367553576041,2203.52294921875,16542153.0
38,0.00889762063294132,0.00889762063294132,2595.32177734375,22323310.0,0.006470494359755044,2175.937255859375,16233874.0
39,0.008829030633946036,0.008829030633946036,2577.06689453125,22151224.0,0.006778296174299336,2249.10595703125,17006122.0
40,0.008816781475071101,0.008816781475071101,2580.69091796875,22120494.0,0.007041473716013038,2298.617919921875,17666408.0
41,0.00879133406239634,0.00879133406239634,2560.330322265625,22056648.0,0.006637528838522335,2231.291748046875,16652948.0
42,0.00878016618251724,0.00878016618251724,2563.50927734375,22028628.0,0.0066948481133015944,2260.9638671875,16796758.0
43,0.00877833944683562,0.00877833944683562,2557.546630859375,22024044.0,0.006752252038584192,2258.244140625,16940778.0
44,0.00871889006228555,0.00871889006228555,2550.659423828125,21874892.0,0.006540247981681132,2213.405517578125,16408880.0
45,0.00874098433583627,0.00874098433583627,2543.009765625,21930326.0,0.0071021386236058606,2345.273681640625,17818612.0
46,0.008722461531509853,0.008722461531509853,2547.461181640625,21883854.0,0.006455097148858281,2205.98779296875,16195245.0
47,0.008707358979519998,0.008707358979519998,2539.21337890625,21845960.0,0.006645508841347212,2274.843017578125,16672969.0
48,0.008688274995127601,0.008688274995127601,2539.6328125,21798082.0,0.006723281442757886,2280.881103515625,16868094.0
49,0.008639473734214332,0.008639473734214332,2515.58154296875,21675644.0,0.006496780963058498,2240.6279296875,16299826.0
50,0.008643869883887862,0.008643869883887862,2531.20849609375,21686674.0,0.006502635834092237,2215.85791015625,16314514.0
51,0.008654425516938553,0.008654425516938553,2528.302978515625,21713158.0,0.0065275953120215,2251.51513671875,16377135.0
52,0.008589990183002686,0.008589990183002686,2512.859375,21551494.0,0.006625952550704268,2234.711669921875,16623906.0
53,0.008597873134799617,0.008597873134799617,2508.776611328125,21571270.0,0.0066163091999187846,2232.49853515625,16599711.0
54,0.00865720738179378,0.00865720738179378,2511.400146484375,21720136.0,0.006627379637238117,2252.38427734375,16627486.0
55,0.008604211213137054,0.008604211213137054,2503.3427734375,21587174.0,0.0065344328229111895,2253.518310546875,16394290.0
56,0.008612757443356952,0.008612757443356952,2507.992431640625,21608616.0,0.006521009347721029,2214.772216796875,16360612.0
57,0.008490333037586801,0.008490333037586801,2497.025146484375,21301462.0,0.006730149529814839,2248.9541015625,16885326.0
58,0.008594282469950634,0.008594282469950634,2507.273681640625,21562264.0,0.006848181877258686,2282.002685546875,17181456.0
59,0.008513359197024013,0.008513359197024013,2487.1201171875,21359234.0,0.006552075220434999,2233.55712890625,16438555.0
60,0.008543139355573322,0.008543139355573322,2490.837158203125,21433950.0,0.006706690290926323,2222.66455078125,16826468.0
61,0.008556455716565407,0.008556455716565407,2502.898193359375,21467360.0,0.006655808945834671,2240.62158203125,16698812.0
62,0.008531404795783187,0.008531404795783187,2489.32763671875,21404508.0,0.006785150474223667,2267.92333984375,17023318.0
63,0.008491747485710252,0.008491747485710252,2489.708984375,21305012.0,0.006636599805615024,2228.1083984375,16650617.0
64,0.008539108685592808,0.008539108685592808,2482.8203125,21423836.0,0.0065235937739734915,2226.274658203125,16367096.0
65,0.008447348485712963,0.008447348485712963,2482.1865234375,21193620.0,0.006769187889445073,2240.373291015625,16983268.0
66,0.008514390926255904,0.008514390926255904,2483.394775390625,21361822.0,0.006794515806498574,2290.408447265625,17046816.0
