Time,WindSpeed,WindDirection,Temperature,Power,hour_sin,hour_cos,doy_sin,doy_cos,WindDir_sin,WindDir_cos,WindSpeed_diff
2020-01-01 00:00:00,5.185714,351.357143,4.392857,4.26,0.0,1.0,0.017213356155834685,0.9998518392091162,-0.15027488712065984,0.9886442526515151,0.0
2020-01-01 00:15:00,5.173333,350.6,4.726667,3.669333,0.06540312923014306,0.9978589232386035,0.017213356155834685,0.9998518392091162,-0.16332596224162207,0.9865721616069695,-0.012380999999999531
2020-01-01 00:30:00,5.073333,349.733333,4.786667,3.073333,0.13052619222005157,0.9914448613738104,0.017213356155834685,0.9998518392091162,-0.17822978950178198,0.9839888932981665,-0.10000000000000053
2020-01-01 00:45:00,4.86,350.333333,4.713333,2.715333,0.19509032201612825,0.9807852804032304,0.017213356155834685,0.9998518392091162,-0.16791589778593669,0.9858013244415645,-0.21333299999999955
2020-01-01 01:00:00,4.726667,349.2,4.073333,2.476,0.25881904510252074,0.9659258262890683,0.017213356155834685,0.9998518392091162,-0.18738131458572468,0.9822872507286887,-0.13333300000000037
2020-01-01 01:15:00,4.553333,346.466667,4.373333,2.383333,0.3214394653031616,0.9469301294951057,0.017213356155834685,0.9998518392091162,-0.23401102054997466,0.9722339442033278,-0.17333399999999966
2020-01-01 01:30:00,4.42,349.933333,4.693333,1.580667,0.3826834323650898,0.9238795325112867,0.017213356155834685,0.9998518392091162,-0.1747939414419569,0.9846050365680574,-0.13333300000000037
2020-01-01 01:45:00,4.273333,97.866667,4.7,0.814667,0.44228869021900125,0.8968727415326884,0.017213356155834685,0.9998518392091162,0.9905892568073125,-0.13686827352581166,-0.14666699999999988
2020-01-01 02:00:00,3.673333,213.533333,4.1,0.640667,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,-0.5524220221358929,-0.8335645802571575,-0.6000000000000001
2020-01-01 02:15:00,3.393333,278.466667,3.84,0.447333,0.5555702330196022,0.8314696123025452,0.017213356155834685,0.9998518392091162,-0.9891016871571194,0.14723400579669055,-0.2799999999999998
2020-01-01 02:30:00,2.82,75.666667,4.533333,0.018667,0.6087614290087207,0.7933533402912352,0.017213356155834685,0.9998518392091162,0.9688718706661623,0.24756271575471803,-0.5733330000000003
