step,time_hours,time_seconds,time_minutes,Explore-Inner_soc,Explore-Mid_soc,Explore-Outer_soc,Drone-3m_soc,Drone-6m_soc,Drone-9m_soc
0,0.0,0.0,0.0,0.2799913852339182,0.35993965178096754,0.439987672260361,0.6799927398585126,0.49999273985851256,0.3599927398585125
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.27998894858674467,0.35987930356193515,0.43997534452072207,0.6799854797170252,0.49998547971702506,0.35998547971702505
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.2799865119395712,0.3598189553429027,0.4399630167810831,0.6799782195755376,0.4999782195755376,0.3599782195755376
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.2799840752923977,0.3597586071238703,0.4399506890414442,0.6799709594340502,0.4999709594340502,0.3599709594340501
4,0.00011111111111111112,0.4,0.006666666666666667,0.2799816386452242,0.35969825890483786,0.43993836130180525,0.6799636992925627,0.4999636992925627,0.35996369929256267
5,0.0001388888888888889,0.5,0.008333333333333333,0.2799792019980507,0.3596379106858055,0.43992603356216625,0.6799564391510753,0.49995643915107524,0.3599564391510752
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.2799767653508772,0.359577562466773,0.4399137058225273,0.6799491790095878,0.4999491790095878,0.3599491790095877
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.2799743287037037,0.35951721424774064,0.4399013780828884,0.6799419188681004,0.4999419188681003,0.3599419188681003
8,0.00022222222222222223,0.8,0.013333333333333334,0.2799718920565302,0.3594568660287082,0.43988905034324943,0.6799346587266129,0.49993465872661286,0.35993465872661284
9,0.00025,0.9,0.015000000000000001,0.2799694554093567,0.3593965178096758,0.4398767226036105,0.6799273985851254,0.4999273985851254,0.35992739858512535
10,0.0002777777777777778,1.0,0.016666666666666666,0.2799670187621832,0.35933616959064335,0.43986439486397155,0.679920138443638,0.4999201384436379,0.3599201384436379
11,0.00030555555555555555,1.1,0.018333333333333333,0.2799645821150097,0.35927582137161096,0.43985206712433256,0.6799128783021505,0.4999128783021505,0.35991287830215046
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,0.2799621454678362,0.3592154731525785,0.4398397393846936,0.6799056181606631,0.49990561816066303,0.35990561816066297
13,0.00036111111111111115,1.3,0.021666666666666667,0.2799597088206627,0.3591551249335461,0.4398274116450547,0.6798983580191756,0.49989835801917554,0.3598983580191755
14,0.0003888888888888889,1.4000000000000001,0.023333333333333334,0.2799572721734892,0.3590947767145137,0.43981508390541574,0.6798910978776881,0.4998910978776881,0.3598910978776881
15,0.0004166666666666667,1.5,0.025,0.2799548355263157,0.3590344284954813,0.4398027561657768,0.6798838377362006,0.49988383773620065,0.3598838377362006
