Time,dcVoltage,totalActivePower,L1_acCurrent,L1_acVoltage,L2_acCurrent,L2_acVoltage,L3_acCurrent,L3_acVoltage,L1_acFrequency,L2_acFrequency,L3_acFrequency,Irradiance,Temperature,WindSpeed,hour_sin,hour_cos,doy_sin,doy_cos,Irr_diff,ClearSkyIndex
2023-01-01 06:55:00,45.4375,0.0,0.0,219.188,0.0,221.219,0.0,221.016,50.0351,50.0351,50.0356,10.691199999999998,12.109399999999999,3.0702,0.9713420698132614,-0.23768589232617318,0.017213356155834685,0.9998518392091162,0.0,0.04498037260591221
2023-01-01 07:00:00,86.6875,0.0,0.0,218.562,0.0,220.453,0.0,220.547,50.035,50.0352,50.0348,11.6188,12.1618,3.2784800000000005,0.9659258262890683,-0.25881904510252063,0.017213356155834685,0.9998518392091162,0.9276000000000018,0.04489159596194971
2023-01-01 07:05:00,54.375,0.0,0.0,218.047,0.0,219.969,0.0,220.078,49.9766,49.9771,49.9758,12.5022,12.178799999999999,3.9,0.9600498543859287,-0.2798290140309919,0.017213356155834685,0.9998518392091162,0.8834,0.04467799753822289
2023-01-01 07:10:00,881.812,0.0,0.242188,217.859,0.21875,220.141,0.210938,219.859,50.0153,50.0165,50.0164,13.6952,12.1854,3.2210799999999997,0.9537169507482269,-0.30070579950427295,0.017213356155834685,0.9998518392091162,1.1929999999999996,0.045543518025183236
2023-01-01 07:15:00,748.0,64.0,1.57031,216.062,1.59375,217.203,1.72656,217.531,49.9729,49.9732,49.97,14.622800000000002,12.1652,2.8122,0.9469301294951057,-0.3214394653031616,0.017213356155834685,0.9998518392091162,0.9276000000000018,0.045491613751313
2023-01-01 07:20:00,748.125,173.0,1.6875,218.391,1.60938,219.891,1.6875,219.812,50.0353,50.0338,50.0354,16.721600000000002,12.1448,3.17182,0.9396926207859084,-0.3420201433256685,0.017213356155834685,0.9998518392091162,2.0988000000000007,0.04889068765776711
2023-01-01 07:25:00,747.938,288.0,1.5,222.844,1.65625,224.25,1.76562,225.469,49.9676,49.9706,49.9709,18.8196,12.2432,3.4172,0.9320078692827986,-0.3624380382837016,0.017213356155834685,0.9998518392091162,2.097999999999999,0.051925013415034506
2023-01-01 07:30:00,748.062,674.0,1.66406,219.281,1.79688,221.031,1.85156,221.359,49.9795,49.9819,49.9786,25.225,12.3506,3.86768,0.9238795325112868,-0.3826834323650895,0.017213356155834685,0.9998518392091162,6.4054,0.0659161015780132
2023-01-01 07:35:00,748.0,1011.0,2.07812,221.953,2.19531,224.281,2.14062,223.484,49.973,49.9706,49.9726,31.587400000000002,12.4468,3.77274,0.9153114791194472,-0.40274668985873713,0.017213356155834685,0.9998518392091162,6.362400000000001,0.07842994317614191
2023-01-01 07:40:00,748.0,1674.0,2.78125,223.438,2.96875,225.5,2.98438,224.984,50.0262,50.0259,50.0302,41.6154,12.4958,3.98412,0.90630778703665,-0.42261826174069933,0.017213356155834685,0.9998518392091162,10.027999999999999,0.09847042536352446
