step,time_hours,time_seconds,time_minutes,S0_soc,S0_queue,S0_renewable_in_kW,S0_wireless_out_kW,S1_soc,S1_queue,S1_renewable_in_kW,S1_wireless_out_kW,S2_soc,S2_queue,S2_renewable_in_kW,S2_wireless_out_kW
0,0.0,0.0,0.0,0.8,0,0.13067792243822207,0.0,0.55,0,0.17297855231863676,0.0,0.4,0,0.11812382888809156,0.0
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.8000363651395944,0,0.13068616742299638,0.0,0.5500486049051848,0,0.17297751021511806,0.0,0.4000327325893773,0,0.11813231537960639,0.0
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.8000727326648904,0,0.13069441240777072,0.0,0.5500972095088351,0,0.17297646811159936,0.0,0.4000654676343367,0,0.11814080187112123,0.0
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.8001091025758881,0,0.13070265739254502,0.0,0.5501458138109507,0,0.17297542600808066,0.0,0.4000982051348781,0,0.11814928836263607,0.0
4,0.00011111111111111112,0.4,0.006666666666666667,0.8001454748725874,0,0.13071090237731936,0.0,0.5501944178115318,0,0.17297438390456196,0.0,0.40013094509100156,0,0.1181577748541509,0.0
5,0.0001388888888888889,0.5,0.008333333333333333,0.8001818495549882,0,0.13071914736209367,0.0,0.5502430215105782,0,0.17297334180104326,0.0,0.400163687502707,0,0.11816626134566574,0.0
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.8002182266230906,0,0.130727392346868,0.0,0.5502916249080901,0,0.1729722996975246,0.0,0.40019643236999447,0,0.11817474783718059,0.0
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.8002546060768946,0,0.13073563733164234,0.0,0.5503402280040673,0,0.1729712575940059,0.0,0.40022917969286403,0,0.11818323432869542,0.0
8,0.00022222222222222223,0.8,0.013333333333333334,0.8002909879164004,0,0.13074388231641665,0.0,0.5503888307985101,0,0.17297021549048716,0.0,0.40026192947131556,0,0.11819172082021025,0.0
9,0.00025,0.9,0.015000000000000001,0.8003273721416078,0,0.13075212730119096,0.0,0.5504374332914181,0,0.1729691733869685,0.0,0.40029468170534915,0,0.11820020731172509,0.0
10,0.0002777777777777778,1.0,0.016666666666666666,0.8003637587525166,0,0.1307603722859653,0.0,0.5504860354827917,0,0.1729681312834498,0.0,0.4003274363949648,0,0.11820869380323992,0.0
11,0.00030555555555555555,1.1,0.018333333333333333,0.8004001477491272,0,0.13076861727073963,0.0,0.5505346373726306,0,0.1729670891799311,0.0,0.40036019354016245,0,0.11821718029475477,0.0
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,0.8004365391314393,0,0.13077686225551394,0.0,0.5505832389609351,0,0.17296604707641242,0.0,0.40039295314094214,0,0.11822566678626961,0.0
13,0.00036111111111111115,1.3,0.021666666666666667,0.800472932899453,0,0.13078510724028825,0.0,0.5506318402477048,0,0.1729650049728937,0.0,0.4004257151973039,0,0.11823415327778444,0.0
14,0.0003888888888888889,1.4000000000000001,0.023333333333333334,0.8005093290531683,0,0.1307933522250626,0.0,0.5506804412329401,0,0.172963962869375,0.0,0.40045847970924775,0,0.11824263976929927,0.0
15,0.0004166666666666667,1.5,0.025,0.8005457275925852,0,0.13080159720983692,0.0,0.5507290419166407,0,0.17296292076585632,0.0,0.4004912466767736,0,0.11825112626081412,0.0
