step,time_hours,Explore-Inner_x,Explore-Inner_y,Explore-Mid_x,Explore-Mid_y,Explore-Outer_x,Explore-Outer_y,Drone-3m_x,Drone-3m_y,Drone-6m_x,Drone-6m_y,Drone-9m_x,Drone-9m_y
0,0.0,14.2255,8.438,9.574,10.3793,11.3808,0.5958,7.5943,6.1122,10.1891,11.6671,16.532,6.3045
1,2.777777777777778e-05,14.2255,8.438,9.574,10.3793,11.277216760378094,0.6563847544307198,7.595641698113207,6.1217379245283015,10.200161132075472,11.661188679245283,16.51190867924528,6.306023018867925
2,5.555555555555556e-05,14.2255,8.438,9.574,10.3793,11.173633520756187,0.7169695088614395,7.596983396226415,6.131275849056603,10.211222264150944,11.655277358490565,16.491817358490568,6.307546037735849
3,8.333333333333334e-05,14.2255,8.438,9.574,10.3793,11.07005028113428,0.7775542632921593,7.598325094339622,6.140813773584905,10.222283396226414,11.649366037735849,16.47172603773585,6.309069056603773
4,0.00011111111111111112,14.2255,8.438,9.574,10.3793,10.966467041512374,0.838139017722879,7.59966679245283,6.150351698113207,10.233344528301886,11.643454716981132,16.451634716981133,6.310592075471698
5,0.0001388888888888889,14.2255,8.438,9.574,10.3793,10.862883801890467,0.8987237721535988,7.601008490566038,6.159889622641509,10.244405660377359,11.637543396226416,16.431543396226417,6.312115094339623
6,0.0001666666666666667,14.2255,8.438,9.574,10.3793,10.75930056226856,0.9593085265843185,7.602350188679245,6.1694275471698115,10.25546679245283,11.631632075471696,16.411452075471697,6.313638113207547
7,0.00019444444444444446,14.2255,8.438,9.574,10.3793,10.655717322646653,1.0198932810150383,7.603691886792452,6.178965471698112,10.266527924528303,11.62572075471698,16.39136075471698,6.315161132075472
8,0.00022222222222222223,14.2255,8.438,9.574,10.3793,10.552134083024747,1.0804780354457582,7.6050335849056605,6.188503396226415,10.277589056603773,11.619809433962264,16.371269433962265,6.316684150943397
9,0.00025,14.2255,8.438,9.574,10.3793,10.44855084340284,1.141062789876478,7.606375283018868,6.198041320754717,10.288650188679245,11.613898113207547,16.35117811320755,6.318207169811321
10,0.0002777777777777778,14.2255,8.438,9.574,10.3793,10.344967603780933,1.201647544307198,7.607716981132075,6.207579245283019,10.299711320754717,11.607986792452829,16.33108679245283,6.319730188679245
11,0.00030555555555555555,14.2255,8.438,9.574,10.3793,10.241384364159027,1.2622322987379178,7.609058679245283,6.217117169811321,10.31077245283019,11.602075471698113,16.31099547169811,6.32125320754717
12,0.0003333333333333334,14.2255,8.438,9.574,10.3793,10.13780112453712,1.3228170531686376,7.6104003773584905,6.2266550943396215,10.321833584905661,11.596164150943396,16.290904150943398,6.322776226415095
13,0.00036111111111111115,14.2255,8.438,9.574,10.3793,10.034217884915213,1.3834018075993573,7.611742075471698,6.236193018867924,10.332894716981132,11.59025283018868,16.270812830188678,6.324299245283019
14,0.0003888888888888889,14.2255,8.438,9.574,10.3793,9.930634645293306,1.443986562030077,7.613083773584906,6.245730943396226,10.343955849056604,11.584341509433962,16.250721509433962,6.325822264150943
15,0.0004166666666666667,14.2255,8.438,9.574,10.3793,9.8270514056714,1.5045713164607966,7.614425471698113,6.255268867924528,10.355016981132076,11.578430188679246,16.230630188679246,6.327345283018867
16,0.00044444444444444447,14.2255,8.438,9.574,10.3793,9.723468166049493,1.5651560708915162,7.6157671698113205,6.26480679245283,10.366078113207548,11.572518867924527,16.21053886792453,6.328868301886792
17,0.00047222222222222224,14.2255,8.438,9.574,10.3793,9.619884926427586,1.625740825322236,7.617108867924529,6.2743447169811315,10.37713924528302,11.566607547169811,16.19044754716981,6.330391320754717
18,0.0005,14.2255,8.438,9.574,10.3793,9.51630168680568,1.686325579752956,7.618450566037736,6.283882641509433,10.38820037735849,11.560696226415093,16.170356226415095,6.331914339622641
19,0.0005277777777777778,14.2255,8.438,9.574,10.3793,9.412718447183773,1.7469103341836756,7.619792264150943,6.293420566037736,10.399261509433963,11.554784905660377,16.150264905660375,6.333437358490566
20,0.0005555555555555556,14.2255,8.438,9.574,10.3793,9.309135207561866,1.8074950886143952,7.621133962264151,6.302958490566037,10.410322641509435,11.54887358490566,16.13017358490566,6.334960377358491
21,0.0005833333333333334,14.2255,8.438,9.574,10.3793,9.20555196793996,1.8680798430451149,7.622475660377359,6.31249641509434,10.421383773584907,11.542962264150944,16.110082264150943,6.336483396226415
22,0.0006111111111111111,14.2255,8.438,9.574,10.3793,9.101968728318052,1.9286645974758345,7.623817358490566,6.3220343396226415,10.432444905660377,11.537050943396226,16.089990943396227,6.338006415094339
