step,time_hours,time_seconds,time_minutes,S0_soc,S0_queue,S0_renewable_in_kW,S0_wireless_out_kW,S1_soc,S1_queue,S1_renewable_in_kW,S1_wireless_out_kW,S2_soc,S2_queue,S2_renewable_in_kW,S2_wireless_out_kW
0,0.0,0.0,0.0,0.4,0,0.08643560628579355,0.0,0.4,0,0.14935915796262944,0.0,0.4,0,0.07267073316588926,0.0
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.4000235635434855,0,0.08643556797389507,0.0,0.40004177058968826,0,0.14935929558648914,0.0,0.40001958065195775,0,0.0726707185477548,0.0
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.4000471270758854,0,0.08643552966199658,0.0,0.4000835412191982,0,0.14935943321034886,0.0,0.40003916129968564,0,0.07267070392962033,0.0
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.40007069059719963,0,0.08643549135009809,0.0,0.4001253118885299,0,0.14935957083420856,0.0,0.4000587419431838,0,0.07267068931148589,0.0
4,0.00011111111111111112,0.4,0.006666666666666667,0.4000942541074282,0,0.0864354530381996,0.0,0.40016708259768335,0,0.14935970845806826,0.0,0.4000783225824522,0,0.07267067469335142,0.0
5,0.0001388888888888889,0.5,0.008333333333333333,0.4001178176065712,0,0.08643541472630112,0.0,0.4002088533466585,0,0.14935984608192798,0.0,0.4000979032174907,0,0.07267066007521696,0.0
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.4001413810946286,0,0.08643537641440263,0.0,0.4002506241354553,0,0.14935998370578768,0.0,0.40011748384829954,0,0.07267064545708249,0.0
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.4001649445716004,0,0.08643533810250414,0.0,0.40029239496407387,0,0.14936012132964738,0.0,0.4001370644748786,0,0.07267063083894804,0.0
8,0.00022222222222222223,0.8,0.013333333333333334,0.4001885080374865,0,0.08643529979060566,0.0,0.4003341658325142,0,0.1493602589535071,0.0,0.4001566450972278,0,0.07267061622081358,0.0
9,0.00025,0.9,0.015000000000000001,0.40021207149228705,0,0.08643526147870717,0.0,0.4003759367407762,0,0.1493603965773668,0.0,0.4001762257153473,0,0.07267060160267912,0.0
10,0.0002777777777777778,1.0,0.016666666666666666,0.40023563493600195,0,0.08643522316680868,0.0,0.40041770768886,0,0.1493605342012265,0.0,0.400195806329237,0,0.07267058698454465,0.0
11,0.00030555555555555555,1.1,0.018333333333333333,0.4002591983686312,0,0.0864351848549102,0.0,0.4004594786767654,0,0.14936067182508622,0.0,0.40021538693889686,0,0.0726705723664102,0.0
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,0.4002827617901749,0,0.08643514654301171,0.0,0.4005012497044925,0,0.14936080944894592,0.0,0.40023496754432697,0,0.07267055774827573,0.0
13,0.00036111111111111115,1.3,0.021666666666666667,0.400306325200633,0,0.08643510823111322,0.0,0.40054302077204146,0,0.1493609470728056,0.0,0.4002545481455273,0,0.07267054313014128,0.0
