step,time_hours,Explore-Inner_x,Explore-Inner_y,Explore-Mid_x,Explore-Mid_y,Explore-Outer_x,Explore-Outer_y,Drone-3m_x,Drone-3m_y,Drone-6m_x,Drone-6m_y,Drone-9m_x,Drone-9m_y
0,0.0,14.2255,8.438,9.574,10.3793,11.3808,0.5958,7.5943,6.1122,10.1891,11.6671,16.532,6.3045
1,2.777777777777778e-05,14.2255,8.438,9.474254443703671,10.372170904746318,11.280806223032716,0.5969156019974962,7.595641698113207,6.1217379245283015,10.200161132075472,11.661188679245283,16.51190867924528,6.306023018867925
2,5.555555555555556e-05,14.2255,8.438,9.374508887407343,10.365041809492634,11.180812446065431,0.5980312039949923,7.596983396226415,6.131275849056603,10.211222264150944,11.655277358490565,16.491817358490568,6.307546037735849
3,8.333333333333334e-05,14.2255,8.438,9.274763331111014,10.357912714238951,11.080818669098147,0.5991468059924885,7.598325094339622,6.140813773584905,10.222283396226414,11.649366037735849,16.47172603773585,6.309069056603773
4,0.00011111111111111112,14.2255,8.438,9.175017774814686,10.350783618985268,10.980824892130862,0.6002624079899846,7.59966679245283,6.150351698113207,10.233344528301886,11.643454716981132,16.451634716981133,6.310592075471698
5,0.0001388888888888889,14.2255,8.438,9.075272218518357,10.343654523731585,10.880831115163577,0.6013780099874808,7.601008490566038,6.159889622641509,10.244405660377359,11.637543396226416,16.431543396226417,6.312115094339623
6,0.0001666666666666667,14.2255,8.438,8.975526662222029,10.336525428477902,10.780837338196292,0.602493611984977,7.602350188679245,6.1694275471698115,10.25546679245283,11.631632075471696,16.411452075471697,6.313638113207547
7,0.00019444444444444446,14.2255,8.438,8.8757811059257,10.329396333224219,10.680843561229008,0.6036092139824731,7.603691886792452,6.178965471698112,10.266527924528303,11.62572075471698,16.39136075471698,6.315161132075472
8,0.00022222222222222223,14.2255,8.438,8.776035549629372,10.322267237970538,10.580849784261723,0.6047248159799693,7.6050335849056605,6.188503396226415,10.277589056603773,11.619809433962264,16.371269433962265,6.316684150943397
9,0.00025,14.2255,8.438,8.67985954984418,10.349656598410654,10.480856007294438,0.6058404179774655,7.606375283018868,6.198041320754717,10.288650188679245,11.613898113207547,16.35117811320755,6.318207169811321
