step,time_hours,time_seconds,time_minutes,Explore-Inner_x_m,Explore-Inner_y_m,Explore-Inner_mode,Explore-Inner_charge_station_id,Explore-Mid_x_m,Explore-Mid_y_m,Explore-Mid_mode,Explore-Mid_charge_station_id,Explore-Outer_x_m,Explore-Outer_y_m,Explore-Outer_mode,Explore-Outer_charge_station_id,Drone-3m_x_m,Drone-3m_y_m,Drone-3m_mode,Drone-3m_charge_station_id,Drone-6m_x_m,Drone-6m_y_m,Drone-6m_mode,Drone-6m_charge_station_id,Drone-9m_x_m,Drone-9m_y_m,Drone-9m_mode,Drone-9m_charge_station_id
22,0.0006111111111111111,2.2,0.03666666666666667,14.2255,8.438,WAIT_PV,-1,7.639072185176122,11.00789544351646,WORK,-1,9.183536676453645,0.6659898700434331,WORK,-1,7.623817358490566,6.3220343396226415,WORK,-1,10.432444905660377,11.537050943396226,WORK,-1,16.089990943396227,6.338006415094339,WORK,-1
23,0.0006388888888888889,2.3000000000000003,0.03833333333333334,14.2255,8.438,WAIT_PV,-1,7.609612692167926,11.103457665506639,WORK,-1,9.084062853433142,0.6762347972606328,WORK,-1,7.625159056603774,6.331572264150943,WORK,-1,10.44350603773585,11.53113962264151,WORK,-1,16.06989962264151,6.339529433962264,WORK,-1
24,0.0006666666666666668,2.4000000000000004,0.04000000000000001,14.2255,8.438,WAIT_PV,-1,7.580153199159731,11.199019887496817,WORK,-1,8.98458903041264,0.6864797244778326,WORK,-1,7.6265007547169805,6.341110188679245,WORK,-1,10.45456716981132,11.525228301886793,WORK,-1,16.04980830188679,6.341052452830189,WORK,-1
25,0.0006944444444444445,2.5,0.041666666666666664,14.2255,8.438,WAIT_PV,-1,7.5506937061515345,11.294582109486996,WORK,-1,8.885115207392136,0.6967246516950323,WORK,-1,7.627842452830189,6.350648113207546,WORK,-1,10.465628301886793,11.519316981132077,WORK,-1,16.029716981132076,6.3425754716981135,WORK,-1
26,0.0007222222222222223,2.6,0.043333333333333335,14.2255,8.438,WAIT_PV,-1,7.591580625749762,11.385841409318674,WORK,-1,8.785641384371633,0.706969578912232,WORK,-1,7.629184150943396,6.360186037735849,WORK,-1,10.476689433962266,11.513405660377359,WORK,-1,16.00962566037736,6.344098490566038,WORK,-1
27,0.00075,2.7,0.045000000000000005,14.2255,8.438,WAIT_PV,-1,7.632467545347989,11.477100709150353,WORK,-1,8.68616756135113,0.7172145061294317,WORK,-1,7.630525849056603,6.3697239622641515,WORK,-1,10.487750566037736,11.50749433962264,WORK,-1,15.989534339622642,6.345621509433962,WORK,-1
28,0.0007777777777777778,2.8000000000000003,0.04666666666666667,14.2255,8.438,WAIT_PV,-1,7.673354464946216,11.568360008982031,WORK,-1,8.586693738330627,0.7274594333466313,WORK,-1,7.631867547169811,6.379261886792452,WORK,-1,10.498811698113208,11.501583018867924,WORK,-1,15.969443018867926,6.347144528301887,WORK,-1
29,0.0008055555555555556,2.9,0.04833333333333333,14.2255,8.438,WAIT_PV,-1,7.714241384544445,11.65961930881371,WORK,-1,8.487219915310124,0.737704360563831,WORK,-1,7.633209245283018,6.388799811320754,WORK,-1,10.509872830188678,11.495671698113206,WORK,-1,15.949351698113208,6.3486675471698115,WORK,-1
30,0.0008333333333333334,3.0,0.05,14.2255,8.438,WAIT_PV,-1,7.755128304142673,11.750878608645388,WORK,-1,8.387746092289621,0.7479492877810308,WORK,-1,7.634550943396226,6.398337735849056,WORK,-1,10.52093396226415,11.48976037735849,WORK,-1,15.92926037735849,6.350190566037736,WORK,-1
31,0.0008611111111111111,3.1,0.051666666666666666,14.2255,8.438,WAIT_PV,-1,7.807745258902704,11.835916577058214,WORK,-1,8.288272269269118,0.7581942149982305,WORK,-1,7.635892641509433,6.407875660377358,WORK,-1,10.531995094339623,11.483849056603773,WORK,-1,15.909169056603773,6.351713584905661,WORK,-1
