rover_name,rover_type,step,time_hours,time_seconds,time_minutes,from_mode,to_mode,x_m,y_m,charge_station_id
Explore-Mid,explore,2455,0.06819444444444445,245.5,4.091666666666667,WORK,WAIT_PV,9.6701,10.4177,-1
Explore-Outer,explore,10282,0.28561111111111115,1028.2,17.13666666666667,WORK,GO_STATION,11.27799714686511,0.6384997042587937,-1
Drone-3m,transport,9396,0.261,939.6,15.66,WORK,GO_STATION,7.5943,6.1122,-1
Drone-3m,transport,10155,0.28208333333333335,1015.5000000000001,16.925,GO_STATION,CHARGE,15.882365331467204,7.522175257738689,2
Drone-6m,transport,5240,0.14555555555555555,524.0,8.733333333333333,WORK,GO_STATION,10.1891,11.6671,-1
Drone-6m,transport,5310,0.14750000000000002,531.0000000000001,8.850000000000001,GO_STATION,CHARGE,9.241520060340811,12.015505004258626,0
Drone-9m,transport,2635,0.07319444444444445,263.5,4.3916666666666675,WORK,GO_STATION,5.8836,7.1117,-1
Drone-9m,transport,2671,0.07419444444444445,267.1,4.451666666666667,GO_STATION,CHARGE,5.429330014435718,6.41207613176022,1
