Time,dcVoltage,totalActivePower,L1_acCurrent,L1_acVoltage,L2_acCurrent,L2_acVoltage,L3_acCurrent,L3_acVoltage,L1_acFrequency,L2_acFrequency,L3_acFrequency,Irradiance,Temperature,WindSpeed,hour_sin,hour_cos,doy_sin,doy_cos,Irr_diff,ClearSkyIndex
2023-01-01 06:55:00,45.5,0.0,0.0,218.75,0.0,220.812,0.0,220.672,50.0141,50.0153,50.0158,10.691199999999998,12.109399999999999,3.0702,0.9713420698132614,-0.23768589232617318,0.017213356155834685,0.9998518392091162,0.0,0.04498037260591221
2023-01-01 07:00:00,85.5,0.0,0.0,218.391,0.0,220.156,0.0,220.344,50.0342,50.0344,50.0341,11.6188,12.1618,3.2784800000000005,0.9659258262890683,-0.25881904510252063,0.017213356155834685,0.9998518392091162,0.9276000000000018,0.04489159596194971
2023-01-01 07:05:00,64.0,0.0,0.0,217.812,0.0,219.656,0.0,219.75,49.9862,49.9862,49.986,12.5022,12.178799999999999,3.9,0.9600498543859287,-0.2798290140309919,0.017213356155834685,0.9998518392091162,0.8834,0.04467799753822289
2023-01-01 07:10:00,748.438,47.0,0.703125,215.297,0.71875,217.078,0.75,217.656,49.9998,49.999,49.9957,13.6952,12.1854,3.2210799999999997,0.9537169507482269,-0.30070579950427295,0.017213356155834685,0.9998518392091162,1.1929999999999996,0.045543518025183236
2023-01-01 07:15:00,749.0,64.0,1.54688,218.0,1.57031,218.938,1.66406,219.703,49.9827,49.9842,49.9833,14.622800000000002,12.1652,2.8122,0.9469301294951057,-0.3214394653031616,0.017213356155834685,0.9998518392091162,0.9276000000000018,0.045491613751313
2023-01-01 07:20:00,748.438,129.0,1.625,217.766,1.57812,219.469,1.67969,219.469,50.0231,50.0226,50.0218,16.721600000000002,12.1448,3.17182,0.9396926207859084,-0.3420201433256685,0.017213356155834685,0.9998518392091162,2.0988000000000007,0.04889068765776711
2023-01-01 07:25:00,748.25,219.0,1.48438,223.328,1.5,224.984,1.74219,225.219,49.9998,50.0009,50.0025,18.8196,12.2432,3.4172,0.9320078692827986,-0.3624380382837016,0.017213356155834685,0.9998518392091162,2.097999999999999,0.051925013415034506
2023-01-01 07:30:00,748.938,662.0,1.72656,221.094,1.80469,223.047,1.85938,222.844,49.9813,49.9809,49.9806,25.225,12.3506,3.86768,0.9238795325112868,-0.3826834323650895,0.017213356155834685,0.9998518392091162,6.4054,0.0659161015780132
2023-01-01 07:35:00,748.5,995.0,2.0625,218.422,2.1875,220.641,2.24219,221.125,49.982,49.9847,49.9807,31.587400000000002,12.4468,3.77274,0.9153114791194472,-0.40274668985873713,0.017213356155834685,0.9998518392091162,6.362400000000001,0.07842994317614191
2023-01-01 07:40:00,748.812,1651.0,2.82812,221.156,2.92969,222.891,2.90625,223.594,50.0159,50.0184,50.0168,41.6154,12.4958,3.98412,0.90630778703665,-0.42261826174069933,0.017213356155834685,0.9998518392091162,10.027999999999999,0.09847042536352446
2023-01-01 07:45:00,749.375,2536.0,4.00781,219.781,4.05469,221.703,4.03906,221.812,49.9879,49.9884,49.9859,55.15560000000001,12.5832,4.08752,0.8968727415326884,-0.44228869021900113,0.017213356155834685,0.9998518392091162,13.540200000000006,0.12470497487215751
2023-01-01 07:50:00,749.438,2691.0,4.32812,221.25,4.28906,223.625,4.15625,223.234,49.9686,49.9682,49.9696,61.0106,12.686,4.556839999999999,0.8870108331782218,-0.46174861323503374,0.017213356155834685,0.9998518392091162,5.85499999999999,0.13212947099625635
2023-01-01 07:55:00,749.5,3137.0,4.86719,221.312,4.96094,223.094,5.02344,222.594,50.0163,50.014,50.0158,71.9656,12.861,3.8891599999999995,0.8767267557075076,-0.48098876891938785,0.017213356155834685,0.9998518392091162,10.954999999999998,0.14962012556276802
2023-01-01 08:00:00,749.375,4354.0,6.71094,218.953,6.72656,220.984,6.73438,220.75,49.9902,49.9898,49.9875,86.43379999999999,12.975200000000001,3.2721000000000005,0.8660254037844387,-0.4999999999999998,0.017213356155834685,0.9998518392091162,14.468199999999996,0.1728676
2023-01-01 08:05:00,748.0,4427.0,6.78125,221.391,6.85938,223.0,6.82031,222.781,49.9668,49.9673,49.9684,84.93260000000001,13.0936,3.82154,0.8549118706729465,-0.5187732581605217,0.017213356155834685,0.9998518392091162,-1.501199999999983,0.16371815367113568
2023-01-01 08:10:00,749.312,3700.0,5.82031,221.25,5.74219,223.266,5.65625,223.266,50.0302,50.0309,50.0316,71.8982,13.2012,4.0709800000000005,0.8433914458128858,-0.5372996083468236,0.017213356155834685,0.9998518392091162,-13.034400000000005,0.1338139817767932
2023-01-01 08:15:00,748.062,3535.0,5.64844,221.047,5.51562,222.938,5.39062,222.938,50.0389,50.039,50.0398,55.2432,13.261599999999998,3.8940799999999998,0.8314696123025451,-0.5555702330196023,0.017213356155834685,0.9998518392091162,-16.655,0.09943513297993929
2023-01-01 08:20:00,748.188,3197.0,5.10156,221.844,5.09375,223.609,4.89844,223.625,49.9884,49.989,49.99,72.8032,13.3198,3.8520200000000004,0.8191520442889917,-0.5735764363510462,0.017213356155834685,0.9998518392091162,17.560000000000002,0.12692850575096193
2023-01-01 08:25:00,748.625,4107.0,6.42188,218.562,6.35938,220.672,6.3125,221.062,49.9604,49.9619,49.9596,84.9948,13.4248,2.76474,0.8064446042674828,-0.5913096483635821,0.017213356155834685,0.9998518392091162,12.191599999999994,0.14373991737699282
2023-01-01 08:30:00,748.125,5001.0,7.69531,220.859,7.64844,222.75,7.63281,222.562,50.0161,50.0162,50.0158,92.1292,13.5684,3.2255200000000004,0.7933533402912352,-0.6087614290087207,0.017213356155834685,0.9998518392091162,7.134399999999999,0.15133876032523771
2023-01-01 08:35:00,748.312,5233.0,8.03125,220.578,8.09375,221.75,8.02344,222.812,49.9759,49.9775,49.9765,98.1588,13.5996,3.22372,0.7798844830928818,-0.6259234721840591,0.017213356155834685,0.9998518392091162,6.029600000000002,0.15682236625108606
2023-01-01 08:40:00,748.562,7013.0,10.5469,221.438,10.7109,223.266,10.6875,222.969,50.0095,50.0068,50.0098,127.90799999999999,13.743200000000002,3.5376199999999995,0.7660444431189783,-0.642787609686539,0.017213356155834685,0.9998518392091162,29.749199999999988,0.19898952324606167
2023-01-01 08:45:00,748.938,8012.0,11.9766,222.719,12.2812,224.25,12.1953,224.516,49.9614,49.9643,49.9633,145.49,13.8102,3.6666200000000004,0.7518398074789774,-0.6593458151000688,0.017213356155834685,0.9998518392091162,17.582000000000022,0.2206581078821574
2023-01-01 08:50:00,748.75,7093.0,10.9297,218.859,10.6797,220.844,10.7188,221.25,50.022,50.0234,50.0227,135.928,14.0096,3.94112,0.7372773368101241,-0.6755902076156602,0.017213356155834685,0.9998518392091162,-9.562000000000012,0.20119889019665707
2023-01-01 08:55:00,749.188,7904.0,12.0547,220.953,11.9453,222.578,11.8906,222.766,50.0056,50.0042,50.0051,141.818,14.171000000000001,3.41988,0.7223639620597556,-0.6915130557822693,0.017213356155834685,0.9998518392091162,5.890000000000015,0.20508361890516932
2023-01-01 09:00:00,748.562,8429.0,12.5391,219.016,12.8672,220.719,12.8047,221.078,50.0343,50.0345,50.0327,145.462,14.1732,3.3370400000000005,0.7071067811865476,-0.7071067811865475,0.017213356155834685,0.9998518392091162,3.643999999999977,0.20571433320991517
2023-01-01 09:05:00,748.625,8423.0,12.6328,220.969,12.8203,223.203,12.8047,223.0,50.0171,50.0184,50.0169,144.598,14.2648,4.17176,0.6915130557822695,-0.7223639620597555,0.017213356155834685,0.9998518392091162,-0.8639999999999759,0.20017333033571036
2023-01-01 09:10:00,748.5,9078.0,13.5781,221.797,13.7969,223.719,13.8281,223.672,50.0121,50.0135,50.0133,158.952,14.4258,3.7803600000000004,0.6755902076156604,-0.737277336810124,0.017213356155834685,0.9998518392091162,14.353999999999985,0.21559322667873623
2023-01-01 09:15:00,748.5,10188.0,15.4297,221.266,15.3906,223.141,15.3516,223.484,50.016,50.0177,50.0162,178.276,14.598400000000002,3.4417999999999997,0.659345815100069,-0.7518398074789773,0.017213356155834685,0.9998518392091162,19.324000000000012,0.23711966063327244
2023-01-01 09:20:00,748.75,10187.0,15.3359,221.562,15.4922,223.609,15.4531,222.375,49.9827,49.9787,49.9841,174.452,14.701400000000001,3.70692,0.6427876096865391,-0.7660444431189782,0.017213356155834685,0.9998518392091162,-3.8240000000000123,0.2277309124385946
2023-01-01 09:25:00,748.5,11131.0,16.7812,220.516,16.8047,222.219,16.7422,222.297,49.9698,49.9695,49.9696,183.06199999999998,14.708000000000002,3.52912,0.6259234721840592,-0.7798844830928816,0.017213356155834685,0.9998518392091162,8.609999999999985,0.23472963492491733
2023-01-01 09:30:00,748.5,12214.0,18.3125,218.875,18.4609,220.109,18.4766,220.359,49.9903,49.9922,49.9889,206.696,14.8422,3.29226,0.6087614290087209,-0.793353340291235,0.017213356155834685,0.9998518392091162,23.634000000000015,0.2605346060862656
2023-01-01 09:35:00,748.562,14505.0,21.4922,224.516,21.6953,226.625,21.7344,225.734,49.9612,49.9591,49.9626,228.85,15.0508,3.43822,0.5913096483635822,-0.8064446042674827,0.017213356155834685,0.9998518392091162,22.153999999999996,0.2837764662184964
2023-01-01 09:40:00,748.375,14840.0,21.9844,224.547,22.2109,226.812,22.1953,225.828,49.9988,49.9963,50.0013,239.358,15.2052,3.51658,0.5735764363510464,-0.8191520442889916,0.017213356155834685,0.9998518392091162,10.50800000000001,0.29220216401676463
2023-01-01 09:45:00,748.25,14787.0,22.0234,222.062,22.0234,224.25,22.0312,224.359,50.0142,50.0152,50.0152,242.954,15.3036,3.8623000000000003,0.5555702330196025,-0.831469612302545,0.017213356155834685,0.9998518392091162,3.5960000000000036,0.292198291320834
2023-01-01 09:50:00,748.875,15354.0,22.7891,221.938,22.8906,223.859,22.8438,223.75,49.9585,49.9563,49.956,255.298,15.536600000000002,4.1005400000000005,0.5372996083468238,-0.8433914458128857,0.017213356155834685,0.9998518392091162,12.343999999999994,0.3027040424318463
2023-01-01 09:55:00,748.5,16708.0,24.8516,223.703,24.6875,225.5,24.7188,225.531,50.0316,50.0317,50.0323,261.54200000000003,15.715800000000002,4.105020000000001,0.5187732581605218,-0.8549118706729464,0.017213356155834685,0.9998518392091162,6.244000000000028,0.30592860968713237
2023-01-01 10:00:00,748.812,14391.0,21.5703,222.594,21.4219,224.672,21.4141,224.734,49.9603,49.9616,49.9612,245.552,15.8656,4.97464,0.49999999999999994,-0.8660254037844387,0.017213356155834685,0.9998518392091162,-15.990000000000038,0.283539026600102
2023-01-01 10:05:00,748.562,13782.0,20.5938,220.859,20.5703,222.656,20.5938,222.344,50.01,50.009,50.0072,230.01799999999997,15.9892,3.45258,0.48098876891938763,-0.8767267557075077,0.017213356155834685,0.9998518392091162,-15.53400000000002,0.26235996392556565
2023-01-01 10:10:00,748.562,17318.0,25.9062,223.812,25.5547,225.344,25.7188,225.297,49.9696,49.9698,49.9708,55.2494,16.238,3.14214,0.4617486132350339,-0.8870108331782217,0.017213356155834685,0.9998518392091162,-174.76859999999996,0.062287176135197304
