step,time_hours,time_seconds,time_minutes,Explore-Inner_soc,Explore-Mid_soc,Explore-Outer_soc,Drone-3m_soc,Drone-6m_soc,Drone-9m_soc
0,0.0,0.0,0.0,0.2799919615009747,0.279948466241361,0.27999017798118486,0.2999927398585125,0.2999927398585125,0.2999927398585125
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.27998952485380124,0.2799458080808081,0.27994312484108824,0.29998547971702505,0.29998547971702505,0.29998547971702505
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.2799870882066277,0.2799431499202552,0.2798960717009916,0.2999782195755376,0.2999782195755376,0.2999782195755376
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.27998465155945423,0.2799404917597023,0.279849018560895,0.2999709594340501,0.2999709594340501,0.2999709594340501
4,0.00011111111111111112,0.4,0.006666666666666667,0.2799822149122807,0.27993783359914937,0.27980196542079844,0.29996369929256267,0.29996369929256267,0.29996369929256267
5,0.0001388888888888889,0.5,0.008333333333333333,0.2799797782651072,0.2799351754385965,0.2797549122807018,0.2999564391510752,0.2999564391510752,0.2999564391510752
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.27997734161793375,0.2799325172780436,0.2797078591406052,0.29994917900958773,0.29994917900958773,0.29994917900958773
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.2799749049707602,0.2799298591174907,0.2796608060005086,0.2999419188681003,0.2999419188681003,0.2999419188681003
8,0.00022222222222222223,0.8,0.013333333333333334,0.27997246832358674,0.27992720095693774,0.27961375286041196,0.29993465872661285,0.29993465872661285,0.29993465872661285
9,0.00025,0.9,0.015000000000000001,0.2799700316764132,0.27992454279638485,0.2795666997203154,0.29992739858512535,0.29992739858512535,0.29992739858512535
10,0.0002777777777777778,1.0,0.016666666666666666,0.27996759502923974,0.27992188463583195,0.2795196465802188,0.2999201384436379,0.2999201384436379,0.2999201384436379
11,0.00030555555555555555,1.1,0.018333333333333333,0.2799651583820662,0.279919226475279,0.27947259344012215,0.29991287830215047,0.29991287830215047,0.29991287830215047
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,0.2799627217348927,0.2799165683147261,0.27942554030002553,0.29990561816066297,0.29990561816066297,0.29990561816066297
13,0.00036111111111111115,1.3,0.021666666666666667,0.27996028508771925,0.2799139101541732,0.2793784871599289,0.2998983580191755,0.2998983580191755,0.2998983580191755
14,0.0003888888888888889,1.4000000000000001,0.023333333333333334,0.2799578484405457,0.2799112519936203,0.2793314340198323,0.2998910978776881,0.2998910978776881,0.2998910978776881
15,0.0004166666666666667,1.5,0.025,0.27995541179337224,0.2799085938330674,0.2792843808797357,0.2998838377362006,0.2998838377362006,0.2998838377362006
16,0.00044444444444444447,1.6,0.02666666666666667,0.2799529751461987,0.2799059356725145,0.2792373277396391,0.29987657759471315,0.29987657759471315,0.29987657759471315
17,0.00047222222222222224,1.7,0.028333333333333332,0.27995053849902524,0.2799032775119616,0.2791902745995425,0.2998693174532257,0.2998693174532257,0.2998693174532257
18,0.0005,1.8,0.030000000000000002,0.27994810185185176,0.2799006193514087,0.27914322145944587,0.2998620573117382,0.2998620573117382,0.2998620573117382
19,0.0005277777777777778,1.9000000000000001,0.03166666666666667,0.27994566520467823,0.27989796119085575,0.27909616831934925,0.29985479717025076,0.29985479717025076,0.29985479717025076
20,0.0005555555555555556,2.0,0.03333333333333333,0.27994322855750475,0.27989530303030286,0.2790491151792526,0.2998475370287633,0.2998475370287633,0.2998475370287633
21,0.0005833333333333334,2.1,0.035,0.2799407919103312,0.27989264486974996,0.27900206203915606,0.2998402768872758,0.2998402768872758,0.2998402768872758
22,0.0006111111111111111,2.2,0.03666666666666667,0.27993835526315775,0.279889986709197,0.27895500889905944,0.2998330167457884,0.2998330167457884,0.2998330167457884
23,0.0006388888888888889,2.3000000000000003,0.03833333333333334,0.2799359186159842,0.2798873285486441,0.2789079557589628,0.29982575660430094,0.29982575660430094,0.29982575660430094
24,0.0006666666666666668,2.4000000000000004,0.04000000000000001,0.27993348196881074,0.27988467038809123,0.2788609026188662,0.29981849646281344,0.29981849646281344,0.29981849646281344
25,0.0006944444444444445,2.5,0.041666666666666664,0.27993104532163726,0.27988201222753833,0.2788138494787696,0.299811236321326,0.299811236321326,0.299811236321326
26,0.0007222222222222223,2.6,0.043333333333333335,0.27992860867446373,0.2798793540669854,0.27876679633867296,0.29980397617983856,0.29980397617983856,0.29980397617983856
27,0.00075,2.7,0.045000000000000005,0.27992617202729025,0.2798766959064325,0.2787197431985764,0.29979671603835106,0.29979671603835106,0.29979671603835106
28,0.0007777777777777778,2.8000000000000003,0.04666666666666667,0.2799237353801167,0.2798740377458796,0.2786726900584798,0.2997894558968636,0.2997894558968636,0.2997894558968636
29,0.0008055555555555556,2.9,0.04833333333333333,0.27992129873294325,0.2798713795853267,0.27862563691838316,0.2997821957553762,0.2997821957553762,0.2997821957553762
30,0.0008333333333333334,3.0,0.05,0.27991886208576977,0.27986872142477376,0.27857858377828654,0.2997749356138887,0.2997749356138887,0.2997749356138887
31,0.0008611111111111111,3.1,0.051666666666666666,0.27991642543859624,0.27986606326422087,0.2785315306381899,0.29976767547240124,0.29976767547240124,0.29976767547240124
32,0.0008888888888888889,3.2,0.05333333333333334,0.27991398879142276,0.279863405103668,0.27848447749809335,0.2997604153309138,0.2997604153309138,0.2997604153309138
33,0.0009166666666666668,3.3000000000000003,0.05500000000000001,0.27991155214424923,0.279860746943115,0.27843742435799673,0.2997531551894263,0.2997531551894263,0.2997531551894263
34,0.0009444444444444445,3.4,0.056666666666666664,0.27990911549707576,0.27985808878256213,0.2783903712179001,0.29974589504793886,0.29974589504793886,0.29974589504793886
35,0.0009722222222222223,3.5000000000000004,0.05833333333333334,0.2799066788499022,0.27985543062200924,0.2783433180778035,0.2997386349064514,0.2997386349064514,0.2997386349064514
36,0.001,3.6,0.060000000000000005,0.27990424220272875,0.27985277246145634,0.27829626493770687,0.2997313747649639,0.2997313747649639,0.2997313747649639
37,0.0010277777777777778,3.7,0.06166666666666667,0.27990180555555527,0.2798501143009034,0.27824921179761025,0.2997241146234765,0.2997241146234765,0.2997241146234765
38,0.0010555555555555557,3.8000000000000003,0.06333333333333334,0.27989936890838174,0.2798474561403505,0.2782021586575137,0.29971685448198904,0.29971685448198904,0.29971685448198904
39,0.0010833333333333333,3.9,0.065,0.27989693226120826,0.2798447979797976,0.27815510551741707,0.29970959434050154,0.29970959434050154,0.29970959434050154
40,0.0011111111111111111,4.0,0.06666666666666667,0.27989449561403473,0.2798421398192447,0.27810805237732045,0.2997023341990141,0.2997023341990141,0.2997023341990141
41,0.001138888888888889,4.1000000000000005,0.06833333333333334,0.27989205896686126,0.27983948165869177,0.2780609992372238,0.29969507405752666,0.29969507405752666,0.29969507405752666
42,0.0011666666666666668,4.2,0.07,0.2798896223196878,0.2798368234981389,0.2780139460971272,0.29968781391603916,0.29968781391603916,0.29968781391603916
43,0.0011944444444444446,4.300000000000001,0.07166666666666668,0.27988718567251425,0.279834165337586,0.2779668929570306,0.2996805537745517,0.2996805537745517,0.2996805537745517
44,0.0012222222222222222,4.4,0.07333333333333333,0.2798847490253408,0.27983150717703303,0.277919839816934,0.2996732936330643,0.2996732936330643,0.2996732936330643
