Time,dcVoltage(V),totalActivePower(W),L1_acCurrent(A),L1_acFrequency(Hz),L1_acVoltage(V),L1_activePower(W),L1_reactivePower(W),L2_acCurrent(A),L2_acFrequency(Hz),L2_acVoltage(V),L2_activePower(W),L2_reactivePower(W),L3_acCurrent(A),L3_acFrequency(Hz),L3_acVoltage(V),L3_activePower(W),L3_reactivePower(W)
2022-06-01 06:00:00,748.438,314.0,1.73438,50.0321,215.609,12.0,-373.0,1.85938,50.0292,218.516,215.0,-340.0,2.30469,50.0283,218.031,87.0,-474.0
2022-06-01 06:05:00,748.375,366.0,1.55469,50.002,220.016,46.0,-331.0,1.67188,50.0031,222.297,172.0,-322.0,2.15625,50.0056,222.25,148.0,-437.0
2022-06-01 06:10:00,747.875,519.0,1.67188,50.0236,218.219,127.0,-328.0,1.78906,50.022,220.594,189.0,-323.0,2.09375,50.0238,220.375,203.0,-411.0
2022-06-01 06:15:00,748.375,736.0,1.76562,50.0192,219.469,198.0,-315.0,1.95312,50.0189,222.281,277.0,-318.0,2.33594,50.0236,221.375,261.0,-423.0
2022-06-01 06:20:00,748.438,918.0,1.96875,49.9877,218.25,252.0,-323.0,2.16406,49.9913,221.219,350.0,-311.0,2.47656,49.9905,220.844,316.0,-420.0
2022-06-01 06:25:00,747.812,1120.0,2.32031,49.9676,220.094,378.0,-325.0,2.29688,49.9666,223.047,373.0,-336.0,2.60938,49.9657,222.453,369.0,-439.0
2022-06-01 06:30:00,748.312,1295.0,2.51562,49.9848,221.047,441.0,-323.0,2.54688,49.9855,223.641,440.0,-339.0,2.71094,49.9852,223.0,414.0,-427.0
2022-06-01 06:35:00,748.25,1437.0,2.5625,49.9923,226.266,449.0,-339.0,2.69531,49.9923,229.281,504.0,-326.0,2.96875,49.9956,228.703,484.0,-445.0
2022-06-01 06:40:00,748.562,1593.0,2.86719,50.011,220.266,532.0,-330.0,2.92969,50.0104,223.344,542.0,-347.0,3.02344,50.0098,222.391,519.0,-418.0
2022-06-01 06:45:00,748.438,1645.0,2.96875,50.0073,220.125,555.0,-340.0,2.96875,50.0076,222.703,555.0,-339.0,3.10938,50.0068,222.938,535.0,-426.0
2022-06-01 06:50:00,748.25,1697.0,2.92969,49.9666,221.984,542.0,-331.0,3.04688,49.9684,224.688,584.0,-327.0,3.35938,49.9692,224.672,571.0,-455.0
2022-06-01 06:55:00,747.875,1818.0,3.125,49.9722,221.25,597.0,-321.0,3.19531,49.9698,224.5,620.0,-326.0,3.41406,49.9738,223.703,601.0,-433.0
2022-06-01 07:00:00,747.812,1879.0,3.3125,49.9757,219.625,641.0,-336.0,3.1875,49.9758,222.062,612.0,-334.0,3.46875,49.9751,222.406,626.0,-432.0
2022-06-01 07:05:00,748.312,1813.0,3.24219,50.0289,218.703,622.0,-328.0,3.15625,50.0271,221.844,594.0,-341.0,3.42188,50.0282,221.266,597.0,-451.0
2022-06-01 07:10:00,747.875,1512.0,2.65625,49.9941,220.359,463.0,-331.0,2.90625,49.9912,223.406,550.0,-312.0,3.07812,49.9965,222.297,499.0,-440.0
2022-06-01 07:15:00,747.938,1649.0,2.85156,49.9682,218.172,523.0,-325.0,3.09375,49.972,220.75,583.0,-337.0,3.1875,49.9705,221.391,543.0,-429.0
2022-06-01 07:20:00,748.375,1773.0,2.99219,49.9674,216.672,541.0,-343.0,3.32031,49.971,218.922,643.0,-331.0,3.4375,49.9666,220.125,589.0,-451.0
2022-06-01 07:25:00,748.0,2311.0,3.875,49.9678,216.547,771.0,-345.0,3.94531,49.9674,219.984,791.0,-346.0,3.95312,49.9667,219.781,749.0,-441.0
2022-06-01 07:30:00,747.812,3715.0,5.9375,49.9717,216.156,1241.0,-370.0,5.94531,49.9761,219.484,1260.0,-340.0,5.82031,49.973,219.969,1214.0,-395.0
2022-06-01 07:35:00,747.812,2725.0,4.35156,50.032,214.391,879.0,-349.0,4.5625,50.033,217.953,945.0,-321.0,4.51562,50.0289,218.234,901.0,-401.0
2022-06-01 07:40:00,747.875,3666.0,5.94531,50.029,215.734,1245.0,-360.0,5.77344,50.0294,220.016,1214.0,-354.0,5.80469,50.0291,219.625,1207.0,-402.0
2022-06-01 07:45:00,747.875,8413.0,13.0,50.0241,217.188,2827.0,-394.0,12.6719,50.0238,221.359,2774.0,-381.0,12.8828,50.0226,220.656,2812.0,-461.0
2022-06-01 07:50:00,747.812,13416.0,20.3984,49.9646,217.062,4469.0,-426.0,20.1484,49.9668,220.812,4448.0,-349.0,20.375,49.963,220.891,4499.0,-485.0
2022-06-01 07:55:00,747.812,16325.0,24.6328,49.9597,220.078,5444.0,-457.0,24.3281,49.9578,223.844,5411.0,-416.0,24.5469,49.9588,223.75,5470.0,-500.0
2022-06-01 08:00:00,747.875,16688.0,25.0547,50.0361,220.938,5513.0,-460.0,25.2969,50.0355,224.797,5613.0,-440.0,25.0703,50.0384,224.516,5562.0,-548.0
2022-06-01 08:05:00,747.812,2753.0,4.35156,49.9923,216.219,861.0,-385.0,4.63281,49.9961,219.578,955.0,-340.0,4.78906,49.9931,220.344,937.0,-461.0
2022-06-01 08:10:00,748.312,4683.0,7.57812,49.9765,218.438,1607.0,-421.0,7.0625,49.9794,222.625,1505.0,-411.0,7.42188,49.9791,222.484,1571.0,-478.0
2022-06-01 08:15:00,748.0,20060.0,29.7656,49.9735,223.641,6612.0,-498.0,29.9297,49.9722,227.719,6723.0,-443.0,29.9453,49.9755,226.812,6725.0,-527.0
2022-06-01 08:20:00,748.0,12020.0,18.0156,50.0245,220.297,3942.0,-464.0,18.3516,50.0209,225.422,4063.0,-416.0,18.1875,50.0266,223.984,4015.0,-515.0
2022-06-01 08:25:00,748.375,19874.0,29.8984,50.0258,220.625,6622.0,-504.0,29.5703,50.0223,224.859,6606.0,-448.0,29.7344,50.0236,224.0,6646.0,-537.0
2022-06-01 08:30:00,748.312,4513.0,7.03906,49.9591,218.359,1466.0,-421.0,7.27344,49.9617,222.609,1548.0,-384.0,7.21875,49.9641,222.453,1499.0,-495.0
