step,time_hours,time_seconds,time_minutes,Explore-Inner_soc,Explore-Mid_soc,Explore-Outer_soc,Drone-3m_soc,Drone-6m_soc,Drone-9m_soc
0,0.0,0.0,0.0,0.279977485380117,0.27999034821903246,0.27999452834986016,0.2999918459535919,0.2999923314755538,0.29999109271391255
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.27997504873294354,0.27998769005847957,0.2799474752097636,0.2999836919071838,0.2999846629511077,0.2999821854278251
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.27997261208577,0.2799850318979267,0.279900422069667,0.29997553786077574,0.29997699442666154,0.29997327814173774
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.27997017543859654,0.2799823737373737,0.27985336892957036,0.29996738381436766,0.29996932590221537,0.2999643708556503
4,0.00011111111111111112,0.4,0.006666666666666667,0.279967738791423,0.27997971557682083,0.27980631578947374,0.2999592297679596,0.29996165737776925,0.2999554635695629
5,0.0001388888888888889,0.5,0.008333333333333333,0.27996530214424953,0.27997705741626794,0.2797592626493771,0.2999510757215515,0.2999539888533231,0.2999465562834755
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.279962865497076,0.279974399255715,0.2797122095092805,0.2999429216751434,0.29994632032887697,0.29993764899738806
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.2799604288499025,0.2799717410951621,0.27966515636918393,0.29993476762873533,0.2999386518044308,0.29992874171130063
8,0.00022222222222222223,0.8,0.013333333333333334,0.27995799220272904,0.2799690829346092,0.2796181032290873,0.29992661358232725,0.2999309832799847,0.29991983442521325
9,0.00025,0.9,0.015000000000000001,0.2799555555555555,0.2799664247740563,0.2795710500889907,0.29991845953591917,0.2999233147555385,0.2999109271391258
10,0.0002777777777777778,1.0,0.016666666666666666,0.27995311890838204,0.27996376661350336,0.27952399694889407,0.2999103054895111,0.2999156462310924,0.2999020198530384
11,0.00030555555555555555,1.1,0.018333333333333333,0.2799506822612085,0.27996110845295047,0.27947694380879745,0.299902151443103,0.29990797770664623,0.299893112566951
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,0.27994824561403503,0.2799584502923976,0.27942989066870083,0.2998939973966949,0.2999003091822001,0.29988420528086357
13,0.00036111111111111115,1.3,0.021666666666666667,0.27994580896686155,0.2799557921318447,0.27938283752860427,0.29988584335028684,0.29989264065775395,0.29987529799477614
14,0.0003888888888888889,1.4000000000000001,0.023333333333333334,0.279943372319688,0.27995313397129173,0.27933578438850765,0.29987768930387876,0.2998849721333078,0.29986639070868876
15,0.0004166666666666667,1.5,0.025,0.27994093567251455,0.27995047581073884,0.279288731248411,0.2998695352574707,0.29987730360886167,0.2998574834226013
16,0.00044444444444444447,1.6,0.02666666666666667,0.279938499025341,0.27994781765018595,0.2792416781083144,0.29986138121106265,0.2998696350844155,0.2998485761365139
17,0.00047222222222222224,1.7,0.028333333333333332,0.27993606237816754,0.279945159489633,0.2791946249682178,0.29985322716465457,0.2998619665599694,0.2998396688504265
18,0.0005,1.8,0.030000000000000002,0.279933625730994,0.2799425013290801,0.2791475718281212,0.2998450731182465,0.2998542980355232,0.2998307615643391
19,0.0005277777777777778,1.9000000000000001,0.03166666666666667,0.27993118908382053,0.2799398431685272,0.2791005186880246,0.2998369190718384,0.2998466295110771,0.2998218542782517
20,0.0005555555555555556,2.0,0.03333333333333333,0.27992875243664705,0.2799371850079743,0.279053465547928,0.2998287650254303,0.29983896098663093,0.29981294699216426
21,0.0005833333333333334,2.1,0.035,0.2799263157894735,0.27993452684742137,0.27900641240783136,0.29982061097902224,0.2998312924621848,0.29980403970607683
22,0.0006111111111111111,2.2,0.03666666666666667,0.27992387914230005,0.2799318686868685,0.27895935926773474,0.29981245693261416,0.29982362393773865,0.29979513241998945
23,0.0006388888888888889,2.3000000000000003,0.03833333333333334,0.2799214424951265,0.2799292105263156,0.2789123061276381,0.2998043028862061,0.29981595541329253,0.299786225133902
24,0.0006666666666666668,2.4000000000000004,0.04000000000000001,0.27991900584795304,0.2799265523657627,0.27886525298754156,0.299796148839798,0.29980828688884636,0.2997773178478146
25,0.0006944444444444445,2.5,0.041666666666666664,0.27991656920077956,0.27992389420520974,0.27881819984744494,0.2997879947933899,0.29980061836440025,0.2997684105617272
26,0.0007222222222222223,2.6,0.043333333333333335,0.27991413255360603,0.27992123604465685,0.2787711467073483,0.29977984074698183,0.2997929498399541,0.29975950327563977
27,0.00075,2.7,0.045000000000000005,0.27991169590643256,0.27991857788410396,0.2787240935672517,0.29977168670057375,0.2997852813155079,0.29975059598955234
28,0.0007777777777777778,2.8000000000000003,0.04666666666666667,0.279909259259259,0.279915919723551,0.2786770404271551,0.29976353265416567,0.2997776127910618,0.29974168870346496
29,0.0008055555555555556,2.9,0.04833333333333333,0.27990682261208555,0.2799132615629981,0.27862998728705846,0.2997553786077576,0.29976994426661563,0.2997327814173775
30,0.0008333333333333334,3.0,0.05,0.279904385964912,0.2799106034024452,0.2785829341469619,0.2997472245613495,0.2997622757421695,0.2997238741312901
31,0.0008611111111111111,3.1,0.051666666666666666,0.27990194931773854,0.27990794524189233,0.27853588100686527,0.2997390705149414,0.29975460721772335,0.2997149668452027
32,0.0008888888888888889,3.2,0.05333333333333334,0.27989951267056506,0.2799052870813394,0.27848882786676865,0.29973091646853334,0.29974693869327723,0.2997060595591153
33,0.0009166666666666668,3.3000000000000003,0.05500000000000001,0.27989707602339153,0.2799026289207865,0.27844177472667203,0.29972276242212526,0.29973927016883106,0.29969715227302784
34,0.0009444444444444445,3.4,0.056666666666666664,0.27989463937621806,0.2798999707602336,0.2783947215865754,0.2997146083757172,0.29973160164438495,0.29968824498694047
35,0.0009722222222222223,3.5000000000000004,0.05833333333333334,0.2798922027290445,0.2798973125996807,0.2783476684464788,0.29970645432930915,0.2997239331199388,0.29967933770085303
36,0.001,3.6,0.060000000000000005,0.27988976608187105,0.27989465443912775,0.2783006153063822,0.29969830028290106,0.29971626459549267,0.2996704304147656
37,0.0010277777777777778,3.7,0.06166666666666667,0.2798873294346976,0.27989199627857486,0.2782535621662856,0.299690146236493,0.2997085960710465,0.2996615231286782
38,0.0010555555555555557,3.8000000000000003,0.06333333333333334,0.27988489278752404,0.27988933811802197,0.278206509026189,0.2996819921900849,0.2997009275466003,0.2996526158425908
39,0.0010833333333333333,3.9,0.065,0.27988245614035057,0.279886679957469,0.27815945588609237,0.2996738381436768,0.2996932590221542,0.29964370855650335
40,0.0011111111111111111,4.0,0.06666666666666667,0.27988001949317703,0.2798840217969161,0.27811240274599575,0.29966568409726874,0.29968559049770804,0.299634801270416
41,0.001138888888888889,4.1000000000000005,0.06833333333333334,0.27987758284600356,0.27988136363636323,0.2780653496058992,0.29965753005086065,0.29967792197326193,0.29962589398432854
42,0.0011666666666666668,4.2,0.07,0.27987514619883,0.27987870547581034,0.27801829646580256,0.2996493760044526,0.29967025344881576,0.2996169866982411
43,0.0011944444444444446,4.300000000000001,0.07166666666666668,0.27987270955165655,0.2798760473152574,0.27797124332570594,0.2996412219580445,0.29966258492436965,0.2996080794121537
44,0.0012222222222222222,4.4,0.07333333333333333,0.2798702729044831,0.2798733891547045,0.2779241901856093,0.2996330679116364,0.2996549163999235,0.2995991721260663
45,0.00125,4.5,0.075,0.27986783625730954,0.2798707309941516,0.2778771370455127,0.2996249138652283,0.29964724787547736,0.2995902648399789
46,0.0012777777777777779,4.6000000000000005,0.07666666666666667,0.27986539961013607,0.2798680728335987,0.2778300839054161,0.29961675981882024,0.2996395793510312,0.2995813575538915
47,0.0013055555555555557,4.7,0.07833333333333334,0.27986296296296254,0.27986541467304576,0.2777830307653195,0.29960860577241216,0.2996319108265851,0.29957245026780405
48,0.0013333333333333335,4.800000000000001,0.08000000000000002,0.27986052631578906,0.27986275651249287,0.2777359776252229,0.2996004517260041,0.2996242423021389,0.29956354298171667
49,0.0013611111111111111,4.9,0.08166666666666668,0.2798580896686156,0.27986009835194,0.2776889244851263,0.299592297679596,0.29961657377769274,0.29955463569562923
50,0.001388888888888889,5.0,0.08333333333333333,0.27985565302144205,0.27985744019138703,0.27764187134502966,0.2995841436331879,0.2996089052532466,0.2995457284095418
51,0.0014166666666666668,5.1000000000000005,0.085,0.2798532163742686,0.27985478203083414,0.27759481820493304,0.2995759772445393,0.2996012389975947,0.29953680769219265
52,0.0014444444444444446,5.2,0.08666666666666667,0.27985077972709504,0.27985212387028124,0.2775477650648364,0.2995677985136501,0.299593575010737,0.2995278735435817
53,0.0014722222222222222,5.3,0.08833333333333333,0.27984834307992157,0.27984946570972835,0.27750071192473985,0.2995596074405205,0.29958591329267353,0.29951892596370905
54,0.0015,5.4,0.09000000000000001,0.27984590643274804,0.2798468075491754,0.27745365878464323,0.2995514040251503,0.29957825384340425,0.29950996495257465
55,0.0015277777777777779,5.5,0.09166666666666666,0.27984346978557456,0.2798441493886225,0.2774066056445466,0.29954318826753956,0.29957059666292923,0.2995009905101784
56,0.0015555555555555557,5.6000000000000005,0.09333333333333334,0.2798410331384011,0.2798414912280696,0.2773595553982878,0.29953496016768827,0.2995629417512484,0.2994920026365205
57,0.0015833333333333335,5.700000000000001,0.09500000000000001,0.27983859649122755,0.2798388330675167,0.2773125022581912,0.29952671972559647,0.2995552891083618,0.2994830013316008
58,0.0016111111111111111,5.8,0.09666666666666666,0.2798361598440541,0.2798361749069638,0.2772654643736247,0.29951846694126416,0.2995476387342694,0.2994739865954194
59,0.001638888888888889,5.9,0.09833333333333334,0.27983372319688055,0.2798335167464109,0.2772184264890582,0.2995102018146913,0.2995399906289712,0.2994649584279762
60,0.0016666666666666668,6.0,0.1,0.27983128654970707,0.279830858585858,0.2771713886044917,0.2995019243458779,0.2995323447924672,0.29945591682927125
61,0.0016944444444444446,6.1000000000000005,0.10166666666666667,0.2798288499025336,0.27982820042530504,0.2771243507199252,0.299493634534824,0.29952470122475744,0.2994468617993046
62,0.0017222222222222222,6.2,0.10333333333333333,0.27982641325536006,0.27982554226475215,0.27707731283535875,0.2994853323815296,0.2995170599258419,0.29943779333807613
63,0.00175,6.3,0.105,0.2798239766081866,0.27982288410419925,0.27703027495079224,0.2994770178859946,0.2995094208957206,0.29942871144558597
64,0.0017777777777777779,6.4,0.10666666666666667,0.27982153996101305,0.27982022594364636,0.27698323706622574,0.2994686910482191,0.29950178413439343,0.299419616121834
65,0.0018055555555555557,6.500000000000001,0.10833333333333335,0.2798191033138396,0.2798175677830934,0.27693619918165924,0.2994603518682031,0.29949414964186055,0.2994105073668203
66,0.0018333333333333335,6.6000000000000005,0.11000000000000001,0.27981666666666605,0.2798149096225405,0.27688916129709273,0.29945200034594655,0.29948651741812193,0.2994013851805448
67,0.0018611111111111111,6.7,0.11166666666666666,0.27981423001949257,0.2798122514619876,0.27684212341252623,0.29944363648144945,0.2994788874631774,0.29939224956300764
68,0.001888888888888889,6.8,0.11333333333333333,0.2798117933723191,0.27980959330143473,0.27679508552795973,0.2994352602747119,0.29947125977702715,0.2993831005142087
69,0.0019166666666666668,6.9,0.115,0.27980935672514556,0.2798069351408818,0.2767480476433932,0.29942687172573373,0.2994636343596711,0.299373938034148
70,0.0019444444444444446,7.000000000000001,0.11666666666666668,0.2798069200779721,0.2798042769803289,0.2767010097588267,0.29941847083451506,0.29945601121110926,0.29936476212282553
71,0.0019722222222222224,7.1000000000000005,0.11833333333333335,0.27980448343079856,0.279801618819776,0.2766539718742602,0.2994100576010559,0.2994483903313417,0.29935557278024133
72,0.002,7.2,0.12000000000000001,0.2798020467836251,0.27979896065922305,0.2766069339896937,0.29940163202535613,0.29944077172036826,0.2993463700063954
73,0.002027777777777778,7.300000000000001,0.12166666666666667,0.2797996101364516,0.27979630249867016,0.27655989610512727,0.2993931941074159,0.2994331553781891,0.29933715380128767
74,0.0020555555555555557,7.4,0.12333333333333334,0.2797971734892781,0.27979364433811726,0.27651285822056076,0.29938474384723507,0.2994255413048042,0.2993279241649182
75,0.0020833333333333333,7.5,0.125,0.2797947368421046,0.27979098617756437,0.27646582033599426,0.29937628124481375,0.2994179295002134,0.299318681097287
76,0.0021111111111111113,7.6000000000000005,0.12666666666666668,0.27979230019493107,0.2797883280170114,0.27641878245142776,0.2993678063001519,0.29941031996441686,0.29930942459839405
77,0.002138888888888889,7.7,0.12833333333333333,0.2797898635477576,0.27978566985645853,0.27637174456686125,0.2993593190132495,0.29940271269741453,0.29930015466823934
78,0.0021666666666666666,7.8,0.13,0.27978742690058406,0.27978301169590564,0.27632470668229475,0.2993508193841067,0.2993951076992064,0.29929087130682286
79,0.0021944444444444446,7.9,0.13166666666666668,0.2797849902534106,0.27978035353535274,0.27627766879772825,0.2993423074127232,0.2993875049697925,0.2992815745141446
80,0.0022222222222222222,8.0,0.13333333333333333,0.2797825536062371,0.2797776953747998,0.27623063091316175,0.29933378309909925,0.29937990450917285,0.2992722642902047
81,0.0022500000000000003,8.100000000000001,0.13500000000000004,0.2797801169590636,0.2797750372142469,0.27618359302859524,0.29932524644323477,0.2993723063173474,0.29926294063500297
82,0.002277777777777778,8.200000000000001,0.1366666666666667,0.2797776803118901,0.279772379053694,0.27613655514402874,0.2993166974451298,0.29936471039431617,0.29925360354853947
83,0.0023055555555555555,8.299999999999999,0.1383333333333333,0.27977524366471657,0.27976972089314106,0.27608951725946224,0.29930813610478424,0.29935711674007914,0.29924425303081426
84,0.0023333333333333335,8.4,0.14,0.2797728070175431,0.27976706273258817,0.27604247937489573,0.29929956242219813,0.2993495253546363,0.29923488908182727
85,0.002361111111111111,8.5,0.14166666666666666,0.2797703703703696,0.2797644045720353,0.2759954414903293,0.29929097639737157,0.2993419362379877,0.2992255117015786
86,0.002388888888888889,8.600000000000001,0.14333333333333337,0.2797679337231961,0.2797617464114824,0.2759484036057628,0.29928237803030444,0.2993343493901333,0.29921612089006805
87,0.002416666666666667,8.700000000000001,0.14500000000000002,0.2797654970760226,0.27975908825092943,0.2759013657211963,0.29927376732099675,0.2993267648110731,0.2992067166472958
88,0.0024444444444444444,8.8,0.14666666666666667,0.2797630604288491,0.27975643009037654,0.2758543278366298,0.29926514426944856,0.2993191825008072,0.2991972989732618
89,0.0024722222222222224,8.9,0.14833333333333334,0.2797606237816756,0.27975377192982365,0.2758072899520633,0.29925650887565985,0.29931160245933547,0.29918786786796614
90,0.0025,9.0,0.15,0.27975818713450207,0.27975111376927075,0.27576025206749677,0.29924786113963064,0.29930402468665795,0.29917842333140865
91,0.002527777777777778,9.100000000000001,0.1516666666666667,0.2797557504873286,0.2797484556087178,0.27571321418293027,0.2992392010613608,0.29929644918277465,0.2991689653635894
92,0.0025555555555555557,9.200000000000001,0.15333333333333335,0.2797533138401551,0.2797457974481649,0.27566617629836376,0.29923052864085053,0.2992888759476855,0.2991594939645084
93,0.0025833333333333333,9.3,0.155,0.2797508771929816,0.279743139287612,0.27561913841379726,0.29922184387809975,0.2992813049813906,0.2991500091341656
94,0.0026111111111111114,9.4,0.15666666666666668,0.2797484405458081,0.27974048112705907,0.27557210052923076,0.2992131467731084,0.2992737362838899,0.29914051087256116
95,0.002638888888888889,9.5,0.15833333333333333,0.2797460038986346,0.2797378229665062,0.27552506264466425,0.2992044373258765,0.29926616985518345,0.29913099917969493
96,0.002666666666666667,9.600000000000001,0.16000000000000003,0.2797435672514611,0.2797351648059533,0.2754780247600978,0.29919571553640406,0.29925860569527124,0.29912147405556694
97,0.0026944444444444446,9.700000000000001,0.16166666666666668,0.2797411306042876,0.2797325066454004,0.2754309868755313,0.29918698140469113,0.29925104380415324,0.2991119355001772
