epoch,train_total,train_data,train_mae,train_mse,val_data,val_mae,val_mse
1,0.033584690218715914,0.033584690218715914,6082.07421875,85523896.0,0.012223415154133003,3595.3310546875,31127102.0
2,0.016426016494319053,0.016426016494319053,4329.28564453125,41829088.0,0.01334030325526497,3677.1103515625,33971272.0
3,0.015294257395756702,0.015294257395756702,4060.9775390625,38947048.0,0.011962201764378488,3380.6552734375,30461920.0
4,0.01477774371347118,0.01477774371347118,3934.483642578125,37631736.0,0.01155454447747159,3407.969482421875,29423816.0
5,0.01428400622767143,0.01428400622767143,3819.296142578125,36374424.0,0.011469300108443152,3224.197509765625,29206738.0
6,0.014144841257960929,0.014144841257960929,3752.34033203125,36020044.0,0.011263971471046,3178.2109375,28683866.0
7,0.014093718550128434,0.014093718550128434,3731.453369140625,35889860.0,0.011687290117990688,3382.139404296875,29761854.0
8,0.013854547879186387,0.013854547879186387,3695.12890625,35280804.0,0.01150615996493882,3183.595458984375,29300600.0
9,0.01370775370357268,0.01370775370357268,3654.1279296875,34906996.0,0.011282174384545615,3174.994140625,28730220.0
10,0.013606987601776074,0.013606987601776074,3624.868408203125,34650392.0,0.011287520546161282,3268.41943359375,28743836.0
11,0.013449138595612167,0.013449138595612167,3602.970947265625,34248420.0,0.01112739580798848,3134.20947265625,28336076.0
12,0.013326900958444009,0.013326900958444009,3581.722412109375,33937144.0,0.011260804443622664,3160.084716796875,28675798.0
13,0.01321342467749014,0.01321342467749014,3542.78369140625,33648176.0,0.010877789670005876,3112.265380859375,27700446.0
14,0.013220147362679766,0.013220147362679766,3536.2763671875,33665296.0,0.010809632861395385,3128.159423828125,27526886.0
15,0.013093255893879545,0.013093255893879545,3513.677734375,33342166.0,0.010583525291607325,2940.200439453125,26951100.0
16,0.012990718354276036,0.012990718354276036,3487.502685546875,33081052.0,0.010764932457924365,3094.480712890625,27413056.0
17,0.012909906133173034,0.012909906133173034,3495.958251953125,32875262.0,0.010593686283050364,3135.546875,26976976.0
18,0.01285348776337023,0.01285348776337023,3488.106689453125,32731592.0,0.010848987755322332,3223.730712890625,27627100.0
