step,time_hours,time_seconds,time_minutes,Explore-Inner_soc,Explore-Mid_soc,Explore-Outer_soc,Drone-3m_soc,Drone-6m_soc,Drone-9m_soc
0,0.0,0.0,0.0,0.2799740606725147,0.2799717025518342,0.2799729328756675,0.29999455035629596,0.29999455035629596,0.29999455035629596
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.27997162402534115,0.2799690443912813,0.27992587973557087,0.29998910071259194,0.29998910071259194,0.29998910071259194
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.27996918737816767,0.27996638623072834,0.27987882659547425,0.2999836510688879,0.2999836510688879,0.2999836510688879
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.2799667507309942,0.27996372807017544,0.27983177345537763,0.29997820142518394,0.29997820142518394,0.29997820142518394
4,0.00011111111111111112,0.4,0.006666666666666667,0.27996431408382066,0.27996106990962255,0.279784720315281,0.2999727517814799,0.2999727517814799,0.2999727517814799
5,0.0001388888888888889,0.5,0.008333333333333333,0.2799618774366472,0.2799584117490696,0.27973766717518445,0.2999673021377759,0.2999673021377759,0.2999673021377759
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.27995944078947366,0.2799557535885167,0.2796906140350878,0.29996185249407187,0.29996185249407187,0.29996185249407187
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.2799570041423002,0.2799530954279638,0.2796435608949912,0.2999564028503679,0.2999564028503679,0.2999564028503679
8,0.00022222222222222223,0.8,0.013333333333333334,0.2799545674951267,0.2799504372674109,0.2795965077548946,0.2999509532066639,0.2999509532066639,0.2999509532066639
9,0.00025,0.9,0.015000000000000001,0.2799521308479532,0.279947779106858,0.27954945461479797,0.29994550356295985,0.29994550356295985,0.29994550356295985
10,0.0002777777777777778,1.0,0.016666666666666666,0.2799496942007797,0.2799451209463051,0.27950240147470135,0.2999400539192559,0.2999400539192559,0.2999400539192559
11,0.00030555555555555555,1.1,0.018333333333333333,0.27994725755360617,0.2799424627857522,0.2794553483346048,0.29993460427555185,0.29993460427555185,0.29993460427555185
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,0.2799448209064327,0.2799398046251993,0.27940829519450816,0.2999291546318478,0.2999291546318478,0.2999291546318478
13,0.00036111111111111115,1.3,0.021666666666666667,0.27994238425925916,0.27993714646464635,0.27936124205441154,0.2999237049881438,0.2999237049881438,0.2999237049881438
14,0.0003888888888888889,1.4000000000000001,0.023333333333333334,0.2799399476120857,0.27993448830409345,0.2793141889143149,0.29991825534443983,0.29991825534443983,0.29991825534443983
15,0.0004166666666666667,1.5,0.025,0.2799375109649122,0.27993183014354056,0.2792671357742183,0.2999128057007358,0.2999128057007358,0.2999128057007358
16,0.00044444444444444447,1.6,0.02666666666666667,0.2799350743177387,0.2799291719829876,0.2792200826341217,0.2999073560570318,0.2999073560570318,0.2999073560570318
17,0.00047222222222222224,1.7,0.028333333333333332,0.2799326376705652,0.2799265138224347,0.2791730294940251,0.29990190641332776,0.29990190641332776,0.29990190641332776
18,0.0005,1.8,0.030000000000000002,0.27993020102339167,0.2799238556618818,0.2791259763539285,0.2998964567696238,0.2998964567696238,0.2998964567696238
19,0.0005277777777777778,1.9000000000000001,0.03166666666666667,0.2799277643762182,0.27992119750132893,0.2790789232138319,0.29989100712591976,0.29989100712591976,0.29989100712591976
20,0.0005555555555555556,2.0,0.03333333333333333,0.2799253277290447,0.279918539340776,0.27903187007373526,0.29988555748221574,0.29988555748221574,0.29988555748221574
