step,time_hours,time_seconds,time_minutes,S0_soc,S0_queue,S0_renewable_in_kW,S0_wireless_out_kW,S1_soc,S1_queue,S1_renewable_in_kW,S1_wireless_out_kW,S2_soc,S2_queue,S2_renewable_in_kW,S2_wireless_out_kW
0,0.0,0.0,0.0,0.8,0,0.13067792243822207,0.0,0.8,0,0.17297855231863676,0.0,0.8,0,0.11812382888809156,0.0
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.8000363651395944,0,0.13068616742299638,0.0,0.8000486049051849,0,0.17297751021511806,0.0,0.8000327325893775,0,0.11813231537960639,0.0
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.8000727326648904,0,0.13069441240777072,0.0,0.8000972095088351,0,0.17297646811159936,0.0,0.8000654676343368,0,0.11814080187112123,0.0
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.8001091025758881,0,0.13070265739254502,0.0,0.8001458138109507,0,0.17297542600808066,0.0,0.8000982051348784,0,0.11814928836263607,0.0
4,0.00011111111111111112,0.4,0.006666666666666667,0.8001454748725874,0,0.13071090237731936,0.0,0.8001944178115318,0,0.17297438390456196,0.0,0.8001309450910018,0,0.1181577748541509,0.0
5,0.0001388888888888889,0.5,0.008333333333333333,0.8001818495549882,0,0.13071914736209367,0.0,0.8002430215105782,0,0.17297334180104326,0.0,0.8001636875027074,0,0.11816626134566574,0.0
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.8002182266230906,0,0.130727392346868,0.0,0.8002916249080901,0,0.1729722996975246,0.0,0.8001964323699949,0,0.11817474783718059,0.0
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.8002546060768946,0,0.13073563733164234,0.0,0.8003402280040673,0,0.1729712575940059,0.0,0.8002291796928646,0,0.11818323432869542,0.0
8,0.00022222222222222223,0.8,0.013333333333333334,0.8002909879164004,0,0.13074388231641665,0.0,0.8003888307985101,0,0.17297021549048716,0.0,0.8002619294713161,0,0.11819172082021025,0.0
9,0.00025,0.9,0.015000000000000001,0.8003273721416078,0,0.13075212730119096,0.0,0.8004374332914183,0,0.1729691733869685,0.0,0.8002946817053499,0,0.11820020731172509,0.0
10,0.0002777777777777778,1.0,0.016666666666666666,0.8003637587525166,0,0.1307603722859653,0.0,0.8004860354827917,0,0.1729681312834498,0.0,0.8003274363949655,0,0.11820869380323992,0.0
11,0.00030555555555555555,1.1,0.018333333333333333,0.8004001477491272,0,0.13076861727073963,0.0,0.8005346373726306,0,0.1729670891799311,0.0,0.8003601935401633,0,0.11821718029475477,0.0
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,0.8004365391314393,0,0.13077686225551394,0.0,0.8005832389609351,0,0.17296604707641242,0.0,0.800392953140943,0,0.11822566678626961,0.0
13,0.00036111111111111115,1.3,0.021666666666666667,0.800472932899453,0,0.13078510724028825,0.0,0.8006318402477048,0,0.1729650049728937,0.0,0.8004257151973049,0,0.11823415327778444,0.0
14,0.0003888888888888889,1.4000000000000001,0.023333333333333334,0.8005093290531683,0,0.1307933522250626,0.0,0.8006804412329401,0,0.172963962869375,0.0,0.8004584797092487,0,0.11824263976929927,0.0
15,0.0004166666666666667,1.5,0.025,0.8005457275925852,0,0.13080159720983692,0.0,0.8007290419166407,0,0.17296292076585632,0.0,0.8004912466767746,0,0.11825112626081412,0.0
16,0.00044444444444444447,1.6,0.02666666666666667,0.8005821285177039,0,0.13080984219461123,0.0,0.8007776422988068,0,0.17296187866233761,0.0,0.8005240160998824,0,0.11825961275232896,0.0
17,0.00047222222222222224,1.7,0.028333333333333332,0.800618531828524,0,0.13081808717938553,0.0,0.8008262423794382,0,0.17296083655881891,0.0,0.8005567879785724,0,0.1182680992438438,0.0
18,0.0005,1.8,0.030000000000000002,0.8006549375250459,0,0.1308263321641599,0.0,0.8008748421585352,0,0.17295979445530021,0.0,0.8005895623128444,0,0.11827658573535862,0.0
19,0.0005277777777777778,1.9000000000000001,0.03166666666666667,0.8006913456072693,0,0.1308345771489342,0.0,0.8009234416360974,0,0.17295875235178151,0.0,0.8006223391026984,0,0.11828507222687347,0.0
20,0.0005555555555555556,2.0,0.03333333333333333,0.8007277560751943,0,0.13084282213370851,0.0,0.8009720408121251,0,0.1729577102482628,0.0,0.8006551183481344,0,0.1182935587183883,0.0
21,0.0005833333333333334,2.1,0.035,0.800764168928821,0,0.13085106711848285,0.0,0.8010206396866183,0,0.17295666814474414,0.0,0.8006879000491526,0,0.11830204520990314,0.0
22,0.0006111111111111111,2.2,0.03666666666666667,0.8008005841681493,0,0.13085931210325719,0.0,0.8010692382595769,0,0.17295562604122544,0.0,0.8007206842057526,0,0.11831053170141798,0.0
23,0.0006388888888888889,2.3000000000000003,0.03833333333333334,0.8008370017931792,0,0.1308675570880315,0.0,0.8011178365310008,0,0.1729545839377067,0.0,0.8007534708179348,0,0.1183190181929328,0.0
24,0.0006666666666666668,2.4000000000000004,0.04000000000000001,0.8008734218039106,0,0.1308758020728058,0.0,0.8011664345008901,0,0.17295354183418804,0.0,0.800786259885699,0,0.11832750468444765,0.0
25,0.0006944444444444445,2.5,0.041666666666666664,0.8009098442003437,0,0.13088404705758014,0.0,0.801215032169245,0,0.17295249973066934,0.0,0.8008190514090452,0,0.1183359911759625,0.0
26,0.0007222222222222223,2.6,0.043333333333333335,0.8009462689824783,0,0.13089229204235447,0.0,0.8012636295360651,0,0.17295145762715064,0.0,0.8008518453879734,0,0.11834447766747733,0.0
27,0.00075,2.7,0.045000000000000005,0.8009826961503147,0,0.13090053702712878,0.0,0.8013122266013508,0,0.17295041552363197,0.0,0.8008846418224838,0,0.11835296415899216,0.0
28,0.0007777777777777778,2.8000000000000003,0.04666666666666667,0.8010191257038527,0,0.13090878201190312,0.0,0.8013608233651018,0,0.17294937342011324,0.0,0.800917440712576,0,0.118361450650507,0.0
29,0.0008055555555555556,2.9,0.04833333333333333,0.8010555576430923,0,0.13091702699667743,0.0,0.8014094198273183,0,0.17294833131659454,0.0,0.8009502420582504,0,0.11836993714202183,0.0
