step,time_hours,time_seconds,time_minutes,Explore-Inner_soc,Explore-Mid_soc,Explore-Outer_soc,Drone-3m_soc,Drone-6m_soc,Drone-9m_soc
0,0.0,0.0,0.0,0.7,0.6999289898989899,0.6999967543859649,0.6999950086527273,0.6999927398585125,0.6999927398585125
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.7,0.6998579797979797,0.6999935087719297,0.6999900173054547,0.6999854797170251,0.6999854797170251
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.7,0.6997869696969695,0.6999902631578946,0.6999850259581821,0.6999782195755376,0.6999782195755376
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.7,0.6997159595959593,0.6999870175438594,0.6999800346109095,0.6999709594340502,0.6999709594340502
4,0.00011111111111111112,0.4,0.006666666666666667,0.7,0.6996449494949493,0.6999837719298243,0.6999750432636369,0.6999636992925626,0.6999636992925626
5,0.0001388888888888889,0.5,0.008333333333333333,0.7,0.6995739393939391,0.6999805263157891,0.6999700519163643,0.6999564391510752,0.6999564391510752
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.7,0.6995029292929289,0.699977280701754,0.6999650605690916,0.6999491790095878,0.6999491790095878
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.7,0.6994319191919187,0.6999740350877188,0.699960069221819,0.6999419188681003,0.6999419188681003
8,0.00022222222222222223,0.8,0.013333333333333334,0.7,0.6993609090909086,0.6999707894736837,0.6999550778745464,0.6999346587266129,0.6999346587266129
9,0.00025,0.9,0.015000000000000001,0.7,0.6992898989898985,0.6999675438596487,0.6999500865272738,0.6999273985851254,0.6999273985851254
10,0.0002777777777777778,1.0,0.016666666666666666,0.7,0.6992188888888883,0.6999642982456135,0.6999450951800011,0.6999201384436379,0.6999201384436379
11,0.00030555555555555555,1.1,0.018333333333333333,0.7,0.6991478787878782,0.6999610526315784,0.6999401038327285,0.6999128783021504,0.6999128783021504
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,0.7,0.699076868686868,0.6999578070175432,0.6999351124854559,0.699905618160663,0.699905618160663
13,0.00036111111111111115,1.3,0.021666666666666667,0.7,0.6990058585858578,0.6999545614035081,0.6999301211381833,0.6998983580191755,0.6998983580191755
14,0.0003888888888888889,1.4000000000000001,0.023333333333333334,0.7,0.6989348484848477,0.6999513157894729,0.6999251297909106,0.6998910978776881,0.6998910978776881
15,0.0004166666666666667,1.5,0.025,0.7,0.6988638383838376,0.6999480701754378,0.699920138443638,0.6998838377362007,0.6998838377362007
16,0.00044444444444444447,1.6,0.02666666666666667,0.7,0.6987928282828274,0.6999448245614026,0.6999151470963654,0.6998765775947131,0.6998765775947131
17,0.00047222222222222224,1.7,0.028333333333333332,0.7,0.6987218181818172,0.6999415789473675,0.6999101557490928,0.6998693174532257,0.6998693174532257
18,0.0005,1.8,0.030000000000000002,0.7,0.698650808080807,0.6999383333333323,0.6999051644018202,0.6998620573117382,0.6998620573117382
19,0.0005277777777777778,1.9000000000000001,0.03166666666666667,0.7,0.698579797979797,0.6999350877192972,0.6999001730545475,0.6998547971702508,0.6998547971702508
20,0.0005555555555555556,2.0,0.03333333333333333,0.7,0.6985087878787868,0.699931842105262,0.6998951817072749,0.6998475370287633,0.6998475370287633
21,0.0005833333333333334,2.1,0.035,0.7,0.6984377777777766,0.699928596491227,0.6998901903600023,0.6998402768872759,0.6998402768872759
22,0.0006111111111111111,2.2,0.03666666666666667,0.7,0.6983667676767665,0.6999253508771918,0.6998851990127297,0.6998330167457883,0.6998330167457883
23,0.0006388888888888889,2.3000000000000003,0.03833333333333334,0.7,0.6982957575757563,0.6999221052631567,0.699880207665457,0.6998257566043009,0.6998257566043009
24,0.0006666666666666668,2.4000000000000004,0.04000000000000001,0.7,0.6982247474747462,0.6999188596491215,0.6998752163181844,0.6998184964628135,0.6998184964628135
