rover_name,rover_type,step,time_hours,time_seconds,time_minutes,from_mode,to_mode,x_m,y_m,charge_station_id
Explore-Outer,explore,10282,0.28561111111111115,1028.2,17.13666666666667,WORK,GO_STATION,11.27799714686511,0.6384997042587937,-1
Drone-3m,transport,9918,0.2755,991.8000000000001,16.53,WORK,DONE,8.3054,11.1673,-1
Drone-6m,transport,9956,0.27655555555555555,995.6,16.593333333333334,WORK,DONE,16.0515,8.5341,-1
Drone-9m,transport,10013,0.2781388888888889,1001.3,16.688333333333333,WORK,DONE,5.8836,7.1117,-1
