time(millisecond),datetime(utc),height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState
100900,2026-05-09 10:21:18,0,Available with any HD 360 subscription,Available with any HD 360 subscription,-9.863457664712,0.328084,0,0,0,15,5,0,0,0,0,0,0,0,0,30.3, 5.2, -0.3,Available with Enterprise subscription,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.72,3.717,3.717,3.719,0,0,0,81.86,-9.863457664712,0,6,P-GPS
101000,2026-05-09 10:21:19,0,,,-9.863457664712,0.328084,0,0.0036473754448,0.0036473754448,15,5,0,0,0,0,0.0036473754448,0,0,0,30.3, 5.3, -0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.72,3.717,3.717,3.719,0,0,0,81.86,-9.863457664712,0,41,Motors_Started
101100,2026-05-09 10:21:19,0,,,-9.863457664712,0.328084,0,0.00246346464576,0.0091017719448,15,5,0,0,0,0,0.0036473754448,0,0,0,30.3, 5.3, -0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.72,3.717,3.717,3.719,0,0,0,81.86,-9.863457664712,0,41,Motors_Started
101200,2026-05-09 10:21:19,0,,,-9.863457664712,0.328084,0,0.004866469972,0.0157313653328,15,5,0,0,0,0,0.004866469972,0,0,0,30.3, 5.3, -0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.72,3.717,3.717,3.719,0,0,0,81.86,-9.863457664712,0,41,Motors_Started
101300,2026-05-09 10:21:19,0,,,-9.863457664712,0.328084,0,0.007631069798,0.0189491147796,15,5,0,0,0,0,0.007631069798,0,0,0,30.3, 5.3, -0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.72,3.717,3.717,3.719,0,0,0,81.86,-9.863457664712,0,41,Motors_Started
101400,2026-05-09 10:21:19,0,,,-9.863457664712,0.328084,0,53.347442652,0.0205929140448,15,5,0,0,0,0,53.347442652,0,0,0,30.3, 5.3, -0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.72,3.717,3.717,3.719,0,0,0,81.86,-9.863457664712,0,41,Motors_Started
101500,2026-05-09 10:21:19,0,,,-9.863457664712,0.328084,0,53.34317756,0.0258321202492,15,5,0,0,0,0,53.347442652,0,0,0,30.3, 5.3, -0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.72,3.717,3.717,3.719,0,0,0,81.86,-9.863457664712,0,41,Motors_Started
101600,2026-05-09 10:21:19,0,,,-9.863457664712,0.328084,0,53.343833728,0.0266366806424,15,5,0,0,0,0,53.347442652,0,0,0,30.3, 5.2, -0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.72,3.717,3.717,3.719,0,0,0,81.86,-9.863457664712,0,41,Motors_Started
101700,2026-05-09 10:21:19,0,,,-9.863457664712,0.328084,0,53.339240552,0.0326082031432,15,5,0,0,0,0,53.347442652,0,0,0,30.3, 5.2, -0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.72,3.717,3.717,3.719,0,0,0,81.86,-9.863457664712,0,41,Motors_Started
101800,2026-05-09 10:21:19,0,,,-9.863457664712,0.328084,0,53.351051576,0.044661090668,15,5,0,0,0,0,53.351051576,0,0,0,30.3, 5.3, -0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.72,3.717,3.717,3.719,0,0,0,81.86,-9.863457664712,0,41,Motors_Started
101900,2026-05-09 10:21:19,0,,,-9.863457664712,0.328084,0,53.352363912,0.0474819569,15,5,0,0,0,0,53.352363912,0,0,0,30.3, 5.2, -0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.72,3.717,3.717,3.719,0,0,0,81.86,-9.863457664712,0,41,Motors_Started
102000,2026-05-09 10:21:20,0,,,-9.863457664712,0.328084,0,53.340552888,0.061257219808,15,5,0,0,0,0,53.352363912,0,0,0,30.3, 5.3, -0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.72,3.717,3.717,3.719,0,0,0,81.86,-9.863457664712,0,41,Motors_Started
102100,2026-05-09 10:21:20,0,,,-9.863457664712,0.328084,0,53.339240552,0.062638781532,15,5,14.873,0,0,0,53.352363912,0,0,0,30.3, 5.3, -0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,25.2,0,0,54,3.683,3.681,3.68,3.68,0,0,0.958,81.86,-9.863457664712,0,41,Motors_Started
