time(millisecond),datetime(utc),height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState
0,2026-05-09 10:19:28,0,Available with any HD 360 subscription,Available with any HD 360 subscription,-11.885298608676,0,0,0,0,15,5,0,0,0,0,0,0,0,0,13.5, 6.7, -1.6,Available with Enterprise subscription,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,6,P-GPS
100,2026-05-09 10:19:28,0,,,-11.885298608676,0,0,0.00587188339,0.00587188339,15,5,0,0,0,0,0.00587188339,0,0,0,13.5, 6.7, -1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,41,Motors_Started
200,2026-05-09 10:19:28,0,,,-11.885298608676,0,0,0.111436355272,0.112156171568,15,5,0,0,0,0,0.111436355272,0,0,0,13.5, 6.7, -1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,41,Motors_Started
300,2026-05-09 10:19:28,0,,,-11.885298608676,0.328084,0,0.124084321556,0.124934059116,15,5,0,0,0,0,0.124084321556,0,0,0,13.5, 6.7, -1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,41,Motors_Started
400,2026-05-09 10:19:28,0,,,-11.885298608676,0.328084,0,0.146375332768,0.150954401156,15,5,0,0,0,0,0.146375332768,0,0,0,13.5, 6.7, -1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,41,Motors_Started
500,2026-05-09 10:19:28,0,,,-11.885298608676,0.328084,0,0.154456697856,0.161332354244,15,5,0,0,0,0,0.154456697856,0,0,0,13.5, 6.7, -1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,41,Motors_Started
600,2026-05-09 10:19:28,0,,,-11.885298608676,0.328084,0,0.2225803877,0.234678813284,15,5,0,0,0,0,0.2225803877,0,0,0,13.4, 6.8, -1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,41,Motors_Started
700,2026-05-09 10:19:28,0,,,-11.885298608676,0.328084,0,0.238342527312,0.251334325628,15,5,0,0,0,0,0.238342527312,0,0,0,13.5, 6.7, -1.5,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,41,Motors_Started
800,2026-05-09 10:19:29,0,,,-11.885298608676,0.328084,0,0.295655849356,0.313746073032,15,5,0,0,0,0,0.295655849356,0,0,0,13.5, 6.7, -1.5,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,41,Motors_Started
900,2026-05-09 10:19:29,0,,,-11.885298608676,0.328084,0,0.303866807624,0.321992792456,15,5,0,0,0,0,0.303866807624,0,0,0,13.5, 6.7, -1.5,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,41,Motors_Started
1000,2026-05-09 10:19:29,0,,,-11.885298608676,0.328084,0,0.33404200544,0.35471785912,15,5,0,0,0,0,0.33404200544,0,0,0,13.5, 6.7, -1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,41,Motors_Started
1100,2026-05-09 10:19:29,0,,,-11.885298608676,0.328084,0,0.307868776256,0.3855151042,15,5,0,0,0,0,0.33404200544,0,0,0,13.5, 6.7, -1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,41,Motors_Started
1200,2026-05-09 10:19:29,0,,,-11.885298608676,0.328084,0,0.42164043344,0.49994096088,15,5,0,0,0,0,0.42164043344,0,0,0,13.5, 6.7, -1.6,,,0,0,1024,1024,1024,1024,0,0,0,0,21.3,0,0,58,3.767,3.764,3.764,3.764,0,0,0,74.66,-11.885298608676,0,41,Motors_Started
